"QID","itemLabel","itemDescription","article"
"Q17053928","Graand Production",NA,NA
"Q17152303","VB Pictures","Indian film production company","https://en.wikipedia.org/wiki/VB_Pictures"
"Q17300077","Temple Hill Entertainment","American based film and television production company","https://en.wikipedia.org/wiki/Temple_Hill_Entertainment"
"Q17063093","Myung Films","South Korean film production and distribution company","https://en.wikipedia.org/wiki/Myung_Films"
"Q17083140","OctoArts Films","Philippine film production company","https://en.wikipedia.org/wiki/OctoArts_Films"
"Q17335626","Jan Chapman Productions",NA,NA
"Q17083384","Pondfreaks",NA,"https://en.wikipedia.org/wiki/Pondfreaks"
"Q17092663","Red Envelope Entertainment","Film production unit","https://en.wikipedia.org/wiki/Red_Envelope_Entertainment"
"Q17101195","Philippe Mounier Marketing Production",NA,"https://en.wikipedia.org/wiki/Philippe_Mounier_Marketing_Production"
"Q17112076","Pope Productions",NA,"https://en.wikipedia.org/wiki/Pope_Productions"
"Q17086647","Reality Entertainment","Philippine film production company","https://en.wikipedia.org/wiki/Reality_Entertainment"
"Q17142345","Photoplay Productions",NA,"https://en.wikipedia.org/wiki/Photoplay_Productions"
"Q17155691","PostPanic",NA,"https://en.wikipedia.org/wiki/PostPanic"
"Q17037236","Filmkraft Productions Pvt. Ltd",NA,"https://en.wikipedia.org/wiki/Filmkraft_Productions_Pvt._Ltd"
"Q17067490","Kaleidoscope Entertainment",NA,"https://en.wikipedia.org/wiki/Kaleidoscope_Entertainment"
"Q17083933","Pritish Nandy Communications","media company based in Mumbai, India",NA
"Q17099699","Uncommon Productions",NA,"https://en.wikipedia.org/wiki/Uncommon_Productions"
"Q17335612","Vinyl Films",NA,"https://en.wikipedia.org/wiki/Vinyl_Films"
"Q17076072","Lionsgate Films","American film studio","https://en.wikipedia.org/wiki/Lionsgate_Films"
"Q17335558","Intrigue Film",NA,NA
"Q17096536","SpectreVision","American horror film company","https://en.wikipedia.org/wiki/SpectreVision"
"Q17335620","Darko Entertainment","production company","https://en.wikipedia.org/wiki/Darko_Entertainment"
"Q17056375","Pacific Films","New Zealand film production company","https://en.wikipedia.org/wiki/Pacific_Films"
"Q17093756","Velvet Film","film production company","https://en.wikipedia.org/wiki/Velvet_Film"
"Q17018154","Segment 3",NA,"https://en.wikipedia.org/wiki/Segment_3"
"Q17064399","Kazhcha Chalachithra Vedi",NA,"https://en.wikipedia.org/wiki/Kazhcha_Chalachithra_Vedi"
"Q17073424","Radiance Media Group",NA,"https://en.wikipedia.org/wiki/Radiance_Media_Group"
"Q17092665","Red Giant Entertainment","American comic book publisher","https://en.wikipedia.org/wiki/Red_Giant_Entertainment"
"Q17088846","Spring Films",NA,"https://en.wikipedia.org/wiki/Spring_Films"
"Q17090740","Nightwork Films",NA,"https://en.wikipedia.org/wiki/Nightwork_Films"
"Q17056539","Park Road Post","motion picture post production facility in Miramar, New Zealand","https://en.wikipedia.org/wiki/Park_Road_Post"
"Q17104170","Sun Hill Production",NA,"https://en.wikipedia.org/wiki/Sun_Hill_Production"
"Q17363791","Q17363791",NA,NA
"Q17371266","Q17371266",NA,NA
"Q17377466","Q17377466",NA,NA
"Q17377495","Q17377495",NA,NA
"Q17377496","Q17377496",NA,NA
"Q17377892","Q17377892",NA,NA
"Q17377976","Q17377976",NA,NA
"Q17425938","Q17425938",NA,NA
"Q17425952","Q17425952",NA,NA
"Q17770432","Q17770432",NA,NA
"Q18029885","Q18029885",NA,NA
"Q18088280","Q18088280",NA,NA
"Q17343527","Runteldat Entertainment",NA,NA
"Q17377468","Aascar Films",NA,NA
"Q17386901","Benedict Bogeaus Productions",NA,NA
"Q17345505","Jerry Weintraub Productions","American film and television production company, founded and owned by Jerry Weintraub",NA
"Q17592750","Hersch",NA,NA
"Q17386965","Wildwood Enterprises",NA,"https://en.wikipedia.org/wiki/Wildwood_Enterprises,_Inc"
"Q17386925","David Brown Productions",NA,NA
"Q17335799","Casey Silver Productions",NA,NA
"Q17335784","Holleran Company",NA,NA
"Q17371327","Lee Daniels Entertainment",NA,NA
"Q17387231","Highschool Sweethearts",NA,NA
"Q17387283","The Story Company",NA,NA
"Q17592311","Vice Films",NA,NA
"Q17387250","Cube Vision",NA,NA
"Q17335666","Chernin Entertainment","film and television production company","https://en.wikipedia.org/wiki/Chernin_Entertainment"
"Q17386998","Wolper Productions","production company",NA
"Q18128040","Mili Pictures Worldwide","Chinese computer animation studio","https://en.wikipedia.org/wiki/Mili_Pictures_Worldwide"
"Q18070515","Fu Works","Dutch film studio",NA
"Q17371486","Closest to the Hole Productions",NA,NA
"Q17377479","Edward Small Productions",NA,NA
"Q17386194","Friendly Productions",NA,NA
"Q17386868","Blake Edwards Entertainment",NA,NA
"Q17415939","Four by Two Films",NA,NA
"Q17761887","Carlmar Film","Norwegian film production company",NA
"Q17335705","Pacific Western Productions","film production company",NA
"Q17371422","Baldwin Entertainment","Firm",NA
"Q17371439","Dino De Laurentiis Corporation",NA,NA
"Q17371448","Parkes/MacDonald Productions",NA,NA
"Q17385899","Solar Productions",NA,NA
"Q17386674","Stanley Kramer Productions",NA,NA
"Q17387146","Gladden Entertainment",NA,NA
"Q18153385","QED International","American film production studio, financer and international distributor","https://en.wikipedia.org/wiki/QED_International"
"Q17525024","Almost Red Productions","film production company founded by Roberto F. Canuto & Xu Xiaoxi",NA
"Q17377891","Bing Crosby Productions","film production company",NA
"Q17418032","Winkler Production","film production company",NA
"Q17371406","Kopelson Entertainment","US film production company",NA
"Q17335735","Bob Yari Productions",NA,NA
"Q17343437","HH Films",NA,NA
"Q17343522","Robert Simonds Productions",NA,NA
"Q17371375","Joel Schumacher Productions",NA,NA
"Q17371499","Edward R. Pressman Film",NA,NA
"Q17378004","John Argyle Productions",NA,NA
"Q17386442","Hal Wallis Productions",NA,NA
"Q17417784","Marc Platt Productions",NA,NA
"Q17592447","Clokey Productions","clay animation company",NA
"Q17770632","Fantefilm","Norwegian film production company",NA
"Q17386859","Blueprint Pictures","movie company","https://en.wikipedia.org/wiki/Blueprint_Pictures"
"Q17387031","Irish DreamTime","production company","https://en.wikipedia.org/wiki/Irish_DreamTime"
"Q17335699","Lawrence Gordon Productions",NA,NA
"Q17335761","Samuelson Productions Ltd",NA,NA
"Q17346715","Baltimore Pictures",NA,NA
"Q17371413","2S Films",NA,NA
"Q17386257","Laurence Mark Productions",NA,NA
"Q17991752","Arad Productions Inc.",NA,NA
"Q18053468","Biograf Jan Svěrák","Czech film production company",NA
"Q17343307","Mike Zoss Productions","Մայք Զոս Պրոդուկցիա","https://en.wikipedia.org/wiki/Mike_Zoss_Productions"
"Q17343562","The Donners' Company","American film production company of director Richard Donner and producer Lauren Shuler Donner","https://en.wikipedia.org/wiki/The_Donners%27_Company"
"Q17335748","Deuce Three Productions",NA,NA
"Q17345511","Stuber Pictures",NA,NA
"Q17346544","The Sommers Company",NA,NA
"Q17378021","Mark Stevens Productions",NA,NA
"Q17386235","Neo Art & Logic",NA,NA
"Q17386560","Per Holst Filmproduktion",NA,NA
"Q17386885","Romero-Grunwald Productions",NA,NA
"Q17592716","Lal Creations",NA,NA
"Q17335653","Hyde Park Entertainment","film production company",NA
"Q17377985","Richard-Oswald-Produktion","German film company in the silent film era",NA
"Q17343499","John Wells Productions","Firm",NA
"Q17335645","The Saul Zaentz Company","American film production company",NA
"Q17335679","Radar Pictures",NA,NA
"Q17343544","Deep River Productions",NA,NA
"Q18148913","Clarius Entertainment",NA,NA
"Q17335713","Tim Burton Productions","American film and television production company","https://en.wikipedia.org/wiki/Tim_Burton_Productions"
"Q17415951","Indian Paintbrush","film production company","https://en.wikipedia.org/wiki/Indian_Paintbrush_(company)"
"Q17386373","Arnold Pressburger Films",NA,NA
"Q17386418","Zucker Brothers Productions",NA,NA
"Q17592777","Douglas MacLean Productions",NA,NA
"Q17592560","NIC ARTS",NA,NA
"Q17748080","ABC-Film","Norwegian film production company",NA
"Q17768775","EMI Produksjon","Norwegian film production company",NA
"Q17346576","Largo Entertainment","American film production company","https://en.wikipedia.org/wiki/Largo_Entertainment"
"Q17335732","The Mark Gordon Company","American production company","https://en.wikipedia.org/wiki/The_Mark_Gordon_Company"
"Q18289762","Q18289762",NA,NA
"Q18290982","Q18290982",NA,NA
"Q18291788","Q18291788",NA,NA
"Q18384665","Q18384665",NA,NA
"Q18689283","Q18689283",NA,NA
"Q18718839","Q18718839",NA,NA
"Q18180872","Alta Vista",NA,NA
"Q19060427","Q19060427",NA,NA
"Q18343365","Concord Production Inc.","film production company","https://en.wikipedia.org/wiki/Concord_Production_Inc."
"Q19278691","Q19278691",NA,NA
"Q19368763","Q19368763",NA,NA
"Q19612542","Q19612542",NA,NA
"Q19366218","Fabula","film production company",NA
"Q19610676","Barakuda Film",NA,NA
"Q19611209","Fark Film",NA,NA
"Q19611286","Filma-Cass",NA,NA
"Q19612500","Sinevizyon Film",NA,NA
"Q19737892","TAFF Pictures",NA,NA
"Q18394525","Tirrenia Studios","Italian film production company","https://en.wikipedia.org/wiki/Tirrenia_Studios"
"Q19702820","Constance Talmadge Film Company","American film company in the silent film era",NA
"Q19647966","Metal Flowers Media","American casting company","https://en.wikipedia.org/wiki/Metal_Flowers_Media"
"Q18589949","Cinéfrance 1888","French film production company",NA
"Q18688791","Helsinki Film","Finnish film production company",NA
"Q18689250","Tuffi Films","Finnish film production company",NA
"Q18180865","Lucamar Productions",NA,NA
"Q18694578","C-Hundred Film Corporation","American film production company",NA
"Q18207711","Abominable Pictures","American film and television production company","https://en.wikipedia.org/wiki/Abominable_Pictures"
"Q19611340","Gold Film",NA,NA
"Q19612159","NTC Medya",NA,NA
"Q19612255","Pastel Film",NA,NA
"Q19612684","Tekden Film",NA,NA
"Q18180858","Movie Masters",NA,NA
"Q18180857","Distant Horizons",NA,NA
"Q19060256","Les Films du Cap",NA,NA
"Q19610605","Avşar Film",NA,NA
"Q18202467","Metafilms","Montreal-based production company",NA
"Q18331625","Cerito Films",NA,NA
"Q18603738","Nanouk Films",NA,NA
"Q19612504","Sis Film Production",NA,NA
"Q18823061","Matchlight Films","film production company",NA
"Q18219579","Enigma Productions","film production company",NA
"Q18180863","De Line Pictures",NA,NA
"Q18180852","Chartoff-Winkler Productions",NA,NA
"Q18180861","Mosaic Media Group",NA,NA
"Q18219679","Turman-Foster Company",NA,NA
"Q18682669","Suomen Filmiteollisuus","Finnish film production company (2001–)",NA
"Q19611727","Koliba Film",NA,NA
"Q19612191","Okur Film",NA,NA
"Q19612716","TFT Film Production",NA,NA
"Q19715748","Metromuster",NA,NA
"Q19820048","Vera-Filmwerke",NA,NA
"Q18196446","Fida Cinematografica",NA,NA
"Q18219569","Chartoff Productions",NA,NA
"Q18227792","Thomas-Spelling Productions",NA,NA
"Q18688864","Kinotar Oy","Finnish film production company",NA
"Q18689062","Periferia Productions","Finnish film production company",NA
"Q19476114","MPK Productions",NA,NA
"Q19610389","Adam Film",NA,NA
"Q19612499","Sinegraf Film Yapım",NA,NA
"Q19751728","E-Motion Entertainment",NA,NA
"Q18759861","It's Alive Films","Finnish film production company",NA
"Q18219616","Euterpe","film production company",NA
"Q19309961","Film Polski","Polish film production company","https://en.wikipedia.org/wiki/Film_Polski"
"Q19839170","Noel Films","Argentinan film production company",NA
"Q19605713","RVK Studios","organization","https://en.wikipedia.org/wiki/RVK_Studios"
"Q18219588","Stanley Donen Films",NA,NA
"Q18624254","FreibeuterFilm",NA,NA
"Q19004749","Marble Island Pictures",NA,NA
"Q19544196","Compagnie parisienne de location de films",NA,NA
"Q19610828","Boyut Film",NA,NA
"Q19611031","Duka Film",NA,NA
"Q19611337","Global Medya",NA,NA
"Q19611892","Med Yapım",NA,NA
"Q18688863","Kino-Recla","former Finnish film studio",NA
"Q18816537","Garagefilm International AB",NA,NA
"Q19610529","ANS Productions",NA,NA
"Q19611063","Düş Gezginleri Film",NA,NA
"Q18219680","Depth of Field","film production company",NA
"Q18155354","TSG Entertainment","American film financing entity","https://en.wikipedia.org/wiki/TSG_Entertainment"
"Q18452123","Miso Film","Danish film and television company","https://en.wikipedia.org/wiki/Miso_Film"
"Q19295678","Mano Film","Swiss film production company","https://en.wikipedia.org/wiki/Mano_Film"
"Q19818606","Broad Green Pictures","US production and financing company","https://en.wikipedia.org/wiki/Broad_Green_Pictures"
"Q18760440","Makido film",NA,NA
"Q18219612","Jack Giarraputo Productions","film production company",NA
"Q19544983","Les Films Concordia","French film production company",NA
"Q18411902","Nikolaus Geyrhalter Filmproduktion","film production company",NA
"Q19836100","Böller und Brot","German production company",NA
"Q19751757","Falcon Pictures","film production company in Indonesia",NA
"Q21006435","Family Affair films","Dutch film production company",NA
"Q21012866","Chung Yuen Motion Picture","film company in the 1980s",NA
"Q21290667","Pictures in Paradise","Australian film production company",NA
"Q20226339","Nord Art","Swedish film company",NA
"Q21147560","Hari Studios","French production company",NA
"Q21593055","Further Films","American film production company","https://en.wikipedia.org/wiki/Further_Films"
"Q20103327","Escándalo Films","Firm",NA
"Q21428286","Item 7","film production company",NA
"Q21623812","Mocky Delicious Products","Firm",NA
"Q21036757","Minnow Films","company",NA
"Q20227561","MovieMakers","Swedish film production company",NA
"Q19907498","Q19907498",NA,NA
"Q19908021","Q19908021",NA,NA
"Q20009714","Q20009714",NA,NA
"Q20085419","Q20085419",NA,NA
"Q20895682","Q20895682",NA,NA
"Q20898470","Q20898470",NA,NA
"Q21006377","Q21006377",NA,NA
"Q21008217","Q21008217",NA,NA
"Q21008384","Q21008384",NA,NA
"Q21013137","Q21013137",NA,NA
"Q21013764","Q21013764",NA,NA
"Q21083478","Q21083478",NA,NA
"Q21083479","Q21083479",NA,NA
"Q21100229","Q21100229",NA,NA
"Q21283236","Q21283236",NA,NA
"Q21328660","Q21328660",NA,NA
"Q21559299","Q21559299",NA,NA
"Q21684866","Q21684866",NA,NA
"Q20001329","Butcher's Film Service","production company","https://en.wikipedia.org/wiki/Butcher%27s_Film_Service"
"Q21787556","Q21787556",NA,NA
"Q21856660","Q21856660",NA,NA
"Q21888019","GMT Productions","French production company",NA
"Q20991226","Sumar Productions",NA,NA
"Q21040507","Dirty Hands Productios",NA,NA
"Q21743237","Bill Melendez Productions",NA,NA
"Q21787624","Infinity Film & TV Productions",NA,NA
"Q21027542","micro_scope","Canadian film production company",NA
"Q21786383","Lyca Productions","Indian entertainment company","https://en.wikipedia.org/wiki/Lyca_Productions"
"Q21116815","RatPac-Dune Entertainment","American film production company",NA
"Q20978608","Circe Films",NA,NA
"Q21481799","Exploding Goldfish Films",NA,NA
"Q21036756","Origin Pictures","British film production company",NA
"Q19937635","Viba Film","film production company",NA
"Q21281988","UFO International Productions","American based film and television production company",NA
"Q20978745","Offshore",NA,NA
"Q20002326","On the Day Productions","film production company",NA
"Q21116818","Berlanti Productions","American film and television production company","https://en.wikipedia.org/wiki/Berlanti_Productions"
"Q21153392","American Genre Film Archive","American genre film archive and distributor",NA
"Q21292719","Katalyst Films","American film production company",NA
"Q20226881","Artfilm",NA,NA
"Q20019146","Mediabruket",NA,NA
"Q21292713","FilmEngine","US film production company",NA
"Q21280723","Citadel Entertainment","American movie production company",NA
"Q21087048","Iris Films","Spanish film production company",NA
"Q21012865","Sun Luen Film",NA,"https://en.wikipedia.org/wiki/Sun_Luen_Film_Co."
"Q21647383","Really Useful Films",NA,NA
"Q20874222","Still Productions",NA,NA
"Q21040117","Two Arts Ltd.",NA,NA
"Q21280724","Tapestry Films","American movie production company",NA
"Q20225659","Lasse Forsberg Produktion",NA,NA
"Q20874209","Pearl Pictures",NA,NA
"Q20978744","Louise Productions",NA,NA
"Q20102493","Acció","production company",NA
"Q20978743","Iota Production",NA,NA
"Q21097821","TAT Productions",NA,NA
"Q21654106","Kasper Collin Produktion (Firm)",NA,NA
"Q21749946","PVPictures",NA,NA
"Q21856019","Snapper Films","Finnish film production and distribution company",NA
"Q19947837","Barton Films",NA,NA
"Q20874216","Cinestone",NA,NA
"Q21008543","Management 360",NA,NA
"Q21008544","Tremendum Pictures",NA,NA
"Q21100226","Imagenation Abu Dhabi",NA,NA
"Q21729773","Fantasy Films Productions",NA,NA
"Q20081982","Mamahohotala","Ukrainian production company",NA
"Q21022090","Edison Manufacturing Company","company organized in 1889 by Thomas Edison","https://en.wikipedia.org/wiki/Edison_Manufacturing_Company"
"Q20885851","Palladium Fiction",NA,NA
"Q21043142","Baleuko",NA,NA
"Q21153400","Kerry Ehrin Productions",NA,NA
"Q21006823","Eleven","British Television Production company","https://en.wikipedia.org/wiki/Eleven_(company)"
"Q21013766","Scope Invest","Belgian film production company",NA
"Q21810681","Potboiler Productions","British film production company",NA
"Q19955849","Les Films du Fleuve","Belgian film production company","https://en.wikipedia.org/wiki/Les_Films_du_Fleuve"
"Q19903792","WG Film","Swedish production company","https://en.wikipedia.org/wiki/WG_Film"
"Q2940427","Q2940427",NA,NA
"Q3011112","Q3011112",NA,NA
"Q3091254","Q3091254",NA,NA
"Q3212863","Q3212863",NA,NA
"Q3216044","Q3216044",NA,NA
"Q3234919","Q3234919",NA,NA
"Q3241592","Q3241592",NA,NA
"Q3259554","Q3259554",NA,NA
"Q3306021","Q3306021",NA,NA
"Q3060562","Société française de production",NA,NA
"Q3156943","JPL Productions",NA,NA
"Q3053982","Endemol Fiction","French TV production company",NA
"Q3080193","Bally Sports North","American Regional sports network in the Upper Midwest and Minnesota","https://en.wikipedia.org/wiki/Bally_Sports_North"
"Q3001891","Coyote","French TV production company",NA
"Q2973075","CinéGroupe","Canadian animation studio","https://en.wikipedia.org/wiki/Cin%C3%A9Groupe"
"Q3313794","Mikros Image","French visual effects and animation company","https://en.wikipedia.org/wiki/Mikros_Animation"
"Q2963634","Chiloé Productions",NA,NA
"Q3211913","Attraction Images",NA,NA
"Q3080189","Fox Sports Florida","Regional sports network serving Florida, United States","https://en.wikipedia.org/wiki/Bally_Sports_Florida"
"Q3100057","Gedeon Programmes","company in Paris, France",NA
"Q3299128","Rainmaker Entertainment","Canadian computer animation company","https://en.wikipedia.org/wiki/Mainframe_Studios"
"Q3178829","Jim Henson's Creature Shop","special/visual effects company","https://en.wikipedia.org/wiki/Jim_Henson%27s_Creature_Shop"
"Q2985466","Comité français de radio-télévision",NA,NA
"Q3302459","Maximal Productions",NA,NA
"Q3094476","Galafilm","Movie production company",NA
"Q3080179","Fox Kids France",NA,NA
"Q3212860","La Société nouvelle de production",NA,NA
"Q3273914","Mac Guff","French visual effects company","https://en.wikipedia.org/wiki/Mac_Guff"
"Q3080194","Bally Sports West","American regional sports network owned by Diamond Sports Group, a joint venture between Sinclair Broadcast Group and Entertainment Studios, and operated as part of Bally Sports, along with its sister network Prime Ticket","https://en.wikipedia.org/wiki/Bally_Sports_West"
"Q3199495","Košutnjak film (Firm)",NA,NA
"Q3039254","Dream Quest Images","former American visual effects company","https://en.wikipedia.org/wiki/Dream_Quest_Images"
"Q3067892","Sonar Entertainment","American entertainment company","https://en.wikipedia.org/wiki/Halcyon_Studios"
"Q3080191","Bally Sports Ohio","American regional sports network","https://en.wikipedia.org/wiki/Bally_Sports_Ohio"
"Q3117402","Groupe F",NA,"https://en.wikipedia.org/wiki/Groupe_F"
"Q3139227","CA","former company in Japan","https://en.wikipedia.org/wiki/Hokuto_Corporation"
"Q3156915","JLA Holding","French TV production group",NA
"Q3049217","Ego Productions",NA,NA
"Q3021167","Def2shoot",NA,"https://en.wikipedia.org/wiki/Def2shoot"
"Q3080187","Bally Sports Midwest","American regional sports network","https://en.wikipedia.org/wiki/Bally_Sports_Midwest"
"Q3242008","Lionsgate Television","Canadian-American television company division of Lionsgate","https://en.wikipedia.org/wiki/Lionsgate_Television"
"Q3255099","List of TV movies made by Disney Studios","Wikimedia list article",NA
"Q3349582","Q3349582",NA,NA
"Q3359550","Q3359550",NA,NA
"Q3412661","Q3412661",NA,NA
"Q5185077","Cricklewood Studios","British film studios from 1920 to 1938","https://en.wikipedia.org/wiki/Cricklewood_Studios"
"Q5419397","Excel Entertainment","indian production company","https://en.wikipedia.org/wiki/Excel_Entertainment"
"Q3415155","Rigolo Films 2000","French film production company",NA
"Q5182716","Craven-Maddalena Films",NA,"https://en.wikipedia.org/wiki/Craven/Maddalena_Films"
"Q5153826","Commonwealth Pictures","film production company","https://en.wikipedia.org/wiki/Commonwealth_Pictures"
"Q5153742","Commonwealth Film Laboratories","Australian film production company","https://en.wikipedia.org/wiki/Commonwealth_Film_Laboratories"
"Q3361500","Pallas Télévision",NA,NA
"Q5191876","Eyeworks Belgium","defunt argentine production company","https://en.wikipedia.org/wiki/Cuatro_Cabezas"
"Q5436183","Farpoint Films","Canadian production company, founded 2000)","https://en.wikipedia.org/wiki/Farpoint_Films"
"Q5370344","Emelco","Former Argentine film studio","https://en.wikipedia.org/wiki/Emelco"
"Q5284005","Divide Pictures","American film and television production company","https://en.wikipedia.org/wiki/Divide_Pictures"
"Q5135688","Cloud Ten Pictures","film production and distribution company","https://en.wikipedia.org/wiki/Cloud_Ten_Pictures"
"Q5401546","Estonian Culture Film","film production company based in Estonia","https://en.wikipedia.org/wiki/Estonian_Culture_Film"
"Q5395348","Eros International","Indian-American film studio","https://en.wikipedia.org/wiki/Eros_International"
"Q5284436","Division Films","American film production company","https://en.wikipedia.org/wiki/Division_Films"
"Q5189359","Crown Film Unit","British government film unit","https://en.wikipedia.org/wiki/Crown_Film_Unit"
"Q5327008","Earth-Touch",NA,"https://en.wikipedia.org/wiki/Earth-Touch"
"Q5399520","EQ Media Group","Australian production company with its head offices in Sydney","https://en.wikipedia.org/wiki/EQ_Media_Group"
"Q5322359","E1 Television",NA,"https://en.wikipedia.org/wiki/Entertainment_One_Television"
"Q5420432","Exitfilm","Estonian movie studio","https://en.wikipedia.org/wiki/Exitfilm"
"Q3326961","Moving Puppet",NA,NA
"Q3416982","Radiodiffusion Française","French public broadcasting institution","https://en.wikipedia.org/wiki/Radiodiffusion_Fran%C3%A7aise"
"Q5358863","Elemental Productions","film production company",NA
"Q5149041","Colored Players Film Corporation","American silent film production company","https://en.wikipedia.org/wiki/Colored_Players_Film_Corporation"
"Q5209681","Daisy 3 Pictures","production Company","https://en.wikipedia.org/wiki/Daisy_3_Pictures"
"Q5299810","Double Hope Films",NA,NA
"Q5165225","Continental-Kunstfilm",NA,"https://en.wikipedia.org/wiki/Continental-Kunstfilm"
"Q5412078","Europafilm","Swedish film production company","https://en.wikipedia.org/wiki/Europafilm"
"Q5347527","Efftee Studios","Australian film production company","https://en.wikipedia.org/wiki/Efftee_Studios"
"Q5280496","Director's Company",NA,"https://en.wikipedia.org/wiki/Director%27s_Company"
"Q3327680","Multimédia France Productions",NA,NA
"Q3406684","Productions prisma",NA,NA
"Q5187036","Croatia Film",NA,"https://en.wikipedia.org/wiki/Croatia_Film"
"Q5244675","de Passe Entertainment","American film and television production company","https://en.wikipedia.org/wiki/De_Passe_Entertainment"
"Q5162392","Conquering Lion Pictures","Canadian independent film production company","https://en.wikipedia.org/wiki/Conquering_Lion_Pictures"
"Q5328635","East India Film Company","Indian film company","https://en.wikipedia.org/wiki/East_India_Film_Company"
"Q5276759","Diler & Associados",NA,"https://en.wikipedia.org/wiki/Diler_%26_Associados"
"Q5191357","Crystal Sky Pictures","American film production company","https://en.wikipedia.org/wiki/Crystal_Sky_Pictures"
"Q5183534","Creative Power Entertaining","Chinese animation company","https://en.wikipedia.org/wiki/Creative_Power_Entertaining"
"Q5204823","DEJ Productions","defunct American film company","https://en.wikipedia.org/wiki/DEJ_Productions"
"Q5324759","EZTV",NA,"https://en.wikipedia.org/wiki/EZTV_(media_company)"
"Q5243097","Daybreak Pacific","Film and television company","https://en.wikipedia.org/wiki/Daybreak_Pacific"
"Q5303438","Downtown Filmes","Brazilian film producer and distributor.","https://en.wikipedia.org/wiki/Downtown_Filmes"
"Q5381815","Eon Films","Mexican film company","https://en.wikipedia.org/wiki/Eon_Films"
"Q3406682","Productions J","Television company by Julie Snyder",NA
"Q5178874","Couzin Films","media Production Company in Montreal","https://en.wikipedia.org/wiki/Couzin_Films"
"Q5374088","Empire International Pictures","American theatrical distribution company","https://en.wikipedia.org/wiki/Empire_International_Pictures"
"Q5140229","Codex Pictures","British film production company","https://en.wikipedia.org/wiki/Codex_Pictures"
"Q5173461","Corvin Film Studio","Hungarian Film Studio","https://en.wikipedia.org/wiki/Corvin_Film_Studio"
"Q5207248","Da Huang Pictures","Malaysian film production company","https://en.wikipedia.org/wiki/Da_Huang_Pictures"
"Q3401312","Prana Studios",NA,"https://en.wikipedia.org/wiki/Prana_Studios"
"Q5357448","Electric Parc","Danish film company","https://en.wikipedia.org/wiki/Electric_Parc"
"Q5357370","Electric Entertainment","American film production company","https://en.wikipedia.org/wiki/Electric_Entertainment"
"Q5189389","Crown International Pictures","defunct film studio","https://en.wikipedia.org/wiki/Crown_International_Pictures"
"Q5401916","Estudios América","former Mexican film studio","https://en.wikipedia.org/wiki/Estudios_Am%C3%A9rica"
"Q5369517","Embassy Pictures","American film company","https://en.wikipedia.org/wiki/Embassy_Pictures"
"Q5403512","Steamroller Productions","film production company","https://en.wikipedia.org/wiki/Steamroller_Productions"
"Q5153874","Commonwealth United Entertainment","defunct American film production and distribution company","https://en.wikipedia.org/wiki/Commonwealth_United_Entertainment"
"Q5297281","Doozer","American television production company","https://en.wikipedia.org/wiki/Doozer_Productions"
"Q5223268","Dark Horse Entertainment","movie and television production organization","https://en.wikipedia.org/wiki/Dark_Horse_Entertainment"
"Q5433853","Fangoria Films",NA,"https://en.wikipedia.org/wiki/Fangoria_Films"
"Q5398366","Making Movies","Finnish film and television production company",NA
"Q3366977","Partizan Midi-Minuit","French company","https://en.wikipedia.org/wiki/Partizan_Midi-Minuit"
"Q5419399","Excel Entertainment Group",NA,"https://en.wikipedia.org/wiki/Excel_Entertainment_Group"
"Q5434191","Fantastic Factory",NA,"https://en.wikipedia.org/wiki/Fantastic_Factory"
"Q5422590","EyeSteelFilm","documentary film production company based in Montreal","https://en.wikipedia.org/wiki/EyeSteelFilm"
"Q3395740","Polyphon","TV production company",NA
"Q5398867","Esperanto Filmoj","American film and television production company","https://en.wikipedia.org/wiki/Esperanto_Filmoj"
"Q5333876","Ecosse Films","British film and television production company","https://en.wikipedia.org/wiki/Ecosse_Films"
"Q5805499","Dibulitoon Studio","Basque Film Producer",NA
"Q5861995","Filmófono",NA,NA
"Q5903471","Horizon Pictures",NA,"https://en.wikipedia.org/wiki/Horizon_Pictures"
"Q5448886","Film4 Productions","British film production company","https://en.wikipedia.org/wiki/Film4_Productions"
"Q5448973","Film Tank","film production company in the UK","https://en.wikipedia.org/wiki/Film_Tank"
"Q5641085","Halaqah Media",NA,NA
"Q5449117","The Filmgroup","film production and distribution company founded by filmmakers Roger Corman and Greg Corman","https://en.wikipedia.org/wiki/The_Filmgroup"
"Q5450617","Finn Film","Finnish motion picture corporation","https://en.wikipedia.org/wiki/Finn_Film"
"Q7574352","Speakit Films",NA,"https://en.wikipedia.org/wiki/Speakit_Films"
"Q5448897","FilmRoos",NA,"https://en.wikipedia.org/wiki/FilmRoos"
"Q5594436","Grand Cheval Productions",NA,"https://en.wikipedia.org/wiki/Grand_Cheval_Productions"
"Q5641909","Telecinco Cinema",NA,"https://en.wikipedia.org/wiki/Telecinco_Cinema"
"Q5449046","Filmax",NA,NA
"Q5712086","Hemisphere Pictures",NA,"https://en.wikipedia.org/wiki/Hemisphere_Pictures"
"Q5597586","Grassroots Films",NA,NA
"Q5575218","Goalpost Pictures","Australian production company","https://en.wikipedia.org/wiki/Goalpost_Pictures"
"Q5452059","Fireworks Entertainment","Canadian film and television company based in Toronto","https://en.wikipedia.org/wiki/Fireworks_Entertainment"
"Q5450035","Fine & Mellow Productions","Danish production company","https://en.wikipedia.org/wiki/Fine_%26_Mellow_Productions"
