"QID","itemLabel","itemDescription"
"Q7728830","The Dancer and Two Warriors","1955 film by Kimiyoshi Yasuda"
"Q7718197","The Bitter Dawn","1988 film by Mahmoud Shoolizadeh"
"Q7764979","The Snake King's Wife Part 2","1973 Cambodian-Thai horror film"
"Q7766439","The Steamie","film directed by Haldane Duncan"
"Q7748975","The Love Suicides at Sonezaki","1981 film"
"Q7745840","The Last Kilometer","2012 film by Paolo Casalis"
"Q7748739","The Lost String","2007 film by Anaïs Prosaïc"
"Q7676943","Tak Giu","film"
"Q7722056","The Champions","1986 film by Donald Brittain"
"Q7716382","The Believers: Stories from Jewish Havana","1994 film"
"Q7723383","The Clifford Ball","2009 film"
"Q7749708","The Making of Milwaukee","2006 film"
"Q7753304","The Navajo Boy","film"
"Q7756662","The People on Market Street","film"
"Q7717698","The Big Lie","1951 film"
"Q7754425","The Notebooks of Memory","2009 film by Anne Aghion"
"Q7748889","The Love Cats","2012 film by Davis Schneiderman"
"Q7763539","The Shadow King","film directed by Henry Selick"
"Q7653903","Swarna Trishna","1989 film"
"Q7670932","TN 07 AL 4777","2009 film"
"Q7687849","Tatakae!! Ramenman","film"
"Q7711211","That Is Pandu","2005 film"
"Q7711387","Thathwamasi","2010 film"
"Q7712152","The Absinthe Drinkers","film"
"Q7718479","The Black and White Menstrual Show","2007 film"
"Q7710285","Thangaikku Oru Thalattu","1990 film"
"Q7747048","The Libel Tourist","2007 film"
"Q7719607","The Boy Friends","1932 film"
"Q7728802","The Dance: The History of American Minstrelsy","film"
"Q7716722","The Best Is Yet to Come","1951 film"
"Q7699349","Ten Thousand Years Older","2002 film by Werner Herzog"
"Q7759817","The Recording of Mr Beast","2006 film"
"Q7761405","The Romance of Science","film"
"Q7708819","Thaayin Manikodi","1998 film by Arjun Sarja"
"Q7753465","The Neverything","film"
"Q7757753","The Poot","2010 film"
"Q7756829","The Phantom Edit","2000 film"
"Q7762837","The Search for King Solomon's Mines","film"
"Q7765151","The Soldier's Food","1942 film"
"Q7766838","The Story of the Great Heroes","1960 film"
"Q7743241","The Jewish Steppe","2001 film by Valeri Ovchinnikov"
"Q7753060","The Name of the Band Is Cowboy Mouth","2007 concert DVD by Cowboy Mouth"
"Q7760494","The Revelator Collection","2002 film by Mark Seliger"
"Q7760618","The Rhythm Devils Concert Experience","2008 film by Jeff Glixman"
"Q7716933","The Best of Bugs Bunny","2012 film by Robert McKimson, Friz Freleng"
"Q7732458","The Essential Daffy Duck","2011 film by Chuck Jones"
"Q7740010","The Holocaust Experience","2003 film by Oeke Hoogendijk"
"Q7650631","Suyamariyadhai","1992 film"
"Q7749468","The Magic Scroll","film directed by Charles Gibson"
"Q7764486","The Sinister Saga of Making ""The Stunt Man""","2001 film by Richard Rush"
"Q7764573","The Sixth Element","2006 surfing film and documentary directed by Justin MacMillan"
"Q7766339","The Stars Are Underground","1996 film by Daragh McCarthy"
"Q7689612","Taxi Beirut","2011 film"
"Q7681503","Tamizhariyum Perumal","1942 film"
"Q7713757","The Angel and Daniel Johnston – Live at the Union Chapel","2008 film"
"Q7717273","The Best of The Beta Band","2005 film"
"Q7719117","The Bones Brigade Video Show","film"
"Q7729840","The Desperate Passage Series","film"
"Q7734827","The Forgotten Children of Congo","2007 film"
"Q7744374","The Killing Phone","2006 film"
"Q7754299","The Noon of the 10th Day","film"
"Q7747169","The Life of Bakuvians and Their Movement Along the Velikokniaz Avenue","1900 film"
"Q7758338","The Princess of Temple Street","2003 film"
"Q7752816","The MySpace Movie","2006 American film"
"Q7766796","The Story of Short Stack","2011 film"
"Q7765468","The Sound of a Dirt Road","2008 film"
"Q7672752","Ta Khar Ta Yan Hni A Chit The Ei Tho Phit Tat The","2004 Burmese film"
"Q7710721","Thar She Blows!","1931 Australian film"
"Q7731839","The Elusive English Organ","2010 film directed by Will Fraser"
"Q7732440","The Essential Bugs Bunny","2010 film by Chuck Jones"
"Q7741368","The Idle Vassal: House of the Snake Princess","1957 film by Yasushi Sasaki"
"Q7749232","The Lyre of Mesopotamia","film directed by Sam Chegini"
"Q7758812","The Purple Rose of Cairo","fictional film released by RKO Pictures in 1935 set within Woody Allen's 1985 film with the same name"
"Q7758257","The Prince and the Composer","2011 film directed by John Bridcut"
"Q7701702","Tere Bina Jiya Nahin Jaye","2010 film by Satish Kaushik"
"Q7646696","Surrender Dorothy","special effect used in the movie The Wizard of Oz"
"Q7708395","Text Book","2010 Malayalam film"
"Q7766929","The Stranger","1984 South Korean film"
"Q7694285","Teen Bhubaner Pare","1969 film"
"Q7709581","Thalattu","1993 film"
"Q7709910","Thames Silents","film"
"Q7711488","Thavory Meas Bong","film"
"Q7715118","The B-52's Time Capsule: Videos for a Future Generation 1979–1998","1998 film"
"Q7729842","The Destiny","2010 film"
"Q7735369","The Frontier Gandhi","2008 film"
"Q7764978","The Snake King's Grandchild","2006 film"
"Q7763101","The Secret Society – Boss","2003 film"
"Q7762010","The Safe Side","2005 film"
"Q7677635","Take It Easy","2011 film by Francesco Bruni"
"Q7748123","The Lonely Hunter","film"
"Q7710299","Thangamani Rengamani","1989 film by Rama Narayanan"
"Q7715080","The Away Game","2006 television documentary"
"Q7708803","Thaali Pudhusu","1997 film by Kothanda Ramaiah"
"Q7684472","Tapasya","1992 Nepali film"
"Q7758491","Dua Kekasih","1990 film directed by Agus Ellyas"
"Q7764620","The Skies are Closer in Homesh","2004 film directed by Manora Hazani"
"Q7699378","Ten Years Running Blind","2005 film"
"Q7766688","The Storm","Canadian documentary directed by Ross Birchall"
"Q7715116","The B-52's 1979–1989","1989 film"
"Q7748062","The London Scene","1961 film"
"Q7739184","The Heart of Steel","2006 film"
"Q7714801","The Atlanta Way","2010 film"
"Q7734588","The Flying Fox in the Snowy Mountains","1964 film"
"Q7653904","Swarnachamaram","1996 film by Rajeevnath"
"Q7711990","The 7th Secret Courier for Edo","1958 film by Kazuo Mori"
"Q7701803","Teree Sang","2009 film by Satish Kaushik"
"Q7709127","Thai Maaman","1994 film by Guru Dhanapal"
"Q7729958","The Devil, the Sinner, and His Journey","2000 film by Harmony Korine"
"Q7745730","The Last Dymaxion","2012 film by Noel Murphy"
"Q7758847","The Pyjama Girl Murder Case","1939 film by Rupert Kathner"
"Q7766725","The Story So Far","2002 film"
"Q7653819","Swapner Bashor","2003 film"
"Q7708611","Tezaab – The Acid of Love","2005 film"
"Q7720211","The Britpop Story","film"
"Q7722540","The Chimpcam Project","film"
"Q7730422","The Divine Institution of Marriage","2008 film"
"Q7715178","The Baby Girl and the Flowerpot","1971 film"
"Q7731430","The Earth Will Swallow You","2002 film"
"Q7928476","Vietnam: The Last Battle","documentary film directed by David Munro"
"Q7768798","The Third Generation","2009 Nepali film"
"Q7771090","The Ultimate Clip Collection","2003 film"
"Q7771200","The Ultimate Matrix Collection","film"
"Q7771685","The Unreal Story of Professional Wrestling","film"
"Q7960532","Waiting","2007 installation film by Zarina Bhimji"
"Q7774641","The Who Special Edition EP","2003 film"
"Q7775388","The Wizard of Oz on television","film"
"Q7796021","Thoppul Kodi","2011 film"
"Q7883531","Undercover Teacher","2005 British documentary"
"Q7811047","To Mee Navhech","1962 film"
"Q7830523","Toy Porno","1993 film"
"Q7860936","Types of Bakuvian Bazaars","1907 film by Vasil Amashukeli"
"Q7907797","Vaadhyar","2012 film"
"Q7933193","Violet's Dreams","film"
"Q7942124","Vote for Change? 2004","2008 film"
"Q7925345","Vickers Wellington LN514","1943 film"
"Q7962652","Wall of Hits","1991 film"
"Q7783306","Theru Vilakku","1980 film"
"Q7775974","The World Inside Video Collection","1995 film"
"Q7768246","The Teddy Bear Master","2006 film"
"Q7800760","Tida Sok Puos","1973 film"
"Q7768571","The Tested","2009 film directed by Russell Costanzo"
"Q7774630","The Who & Special Guests: Live at the Royal Albert Hall","2001 film by Dick Carruthers"
"Q7785481","Thiruvalla","1993 film by T. Rajendar"
"Q7814700","Tom, Dick, and Harry, Rock Again!","2009 film"
"Q7785681","This Disaster: Live in London","2004 film by Meiert Avis"
"Q7847502","True Norwegian Black Metal","2007 film"
"Q7825380","Torakku Yarō","film"
"Q7832960","Training Women for War Production","film"
"Q7852624","Tumi Swapno Tumi Shadhona","2008 film"
"Q7913910","Vana Yuddham","2013 Tamil film by A. M. R. Ramesh"
"Q7880567","Ultraman, Ultraseven: Great Violent Monster Fight","film"
"Q7880566","Ultraman: Great Monster Decisive Battle","1979 film"
"Q7835914","Travel Chronicles of Yaji and Kita","1956 film"
"Q7850765","Tube","film directed by Bassam Kurdali"
"Q7859104","Two Million Minutes","2009 documentary film"
"Q7918224","Veeru Waah Bhaai Waah","2013 film"
"Q7942405","Voyage au pays des nouveaux gourous","film"
"Q7942440","Voyager, a Journey through Time and Water","film"
"Q7933654","Virasat","1999 film"
"Q7785918","This Is Not a Crocodile Tear","2009 film directed by Salah Elmur"
"Q7808210","Tingya","2007 film by Mangesh Hadawale"
"Q7769630","The Toronto Rap Project","2006 film"
"Q7902685","Uthama Purushan","1989 film by K. Subash"
"Q7800958","Tie malé výlety","1972 film"
"Q7836775","Treasures from American Film Archives","film"
"Q7847533","True Tales of Slaughter and Slaying","2006 film"
"Q7852620","Tumi Kar","2008 film"
"Q7878238","Ujwadu","2011 film"
"Q7884290","Unfair Dealing","2008 film"
"Q7885185","Unikkausivut: Sharing Our Stories","film"
"Q7918103","Veer Hamirji – Somnath ni Sakhate","2012 film"
"Q7923773","Vetrivel Sakthivel","2005 film"
"Q7784161","ShaffuActor","http://appsgeyser.io/15661203/ShaffuActor"
"Q7833003","Trains of Winnipeg","2004 film by Jason Tait, Christine Fellows, Clive Holden"
"Q7768098","The Tango of Our Childhood","1986 film directed by Albert Mkrtchyan"
"Q7798743","Thulasi","1987 film by Ameerjan"
"Q7805560","Timeless Love","2012 film by Dasmond Koh"
"Q7771335","The Uncounted Enemy","film"
"Q7771320","The Uncomfortable Camera","2005 film"
"Q7776107","The World in Action","film"
"Q7776123","The World of Charlie Company","film"
"Q7783789","They Were Not Silent","1998 film"
"Q7862668","Tōjin Okichi","1954 film"
"Q7898119","Up the Ridge","2006 film"
"Q7780981","Thekkekkara Superfast","2004 Malayalam language film directed by Thaha"
"Q7782689","There Are So Many Things Still to Say","1997 film by Omar Amiralay"
"Q7802843","Tillie Olsen: A Heart in Action","2007 film directed by Ann Hershey"
"Q7769090","The Three Stooges Collection","2007 film"
"Q7770716","The Tunnel","1962 film"
"Q7899221","Uproar in the Studio","1926 film by Wan Guchan, Wan Laiming"
"Q7827381","Torturing Democracy","2008 film"
"Q7831596","Tracks to Terezín","2007 film"
"Q7918136","Veera Telangana","2010 film by R. Narayana Murthy"
"Q7847425","True Guts","2006 film"
"Q7959293","Wadjah Seorang Laki-laki","1971 film by Teguh Karya"
"Q7962727","Wallace & Gromit: The Best of Aardman Animation","1996 film by Nick Park"
"Q7919515","Ven Shankhu Pol","2011 film"
"Q7918807","Velankanni Mathave","film"
"Q7844300","Tritiya Paksha","2019 film by Suryoday De"
"Q7909301","Valayar Paramasivam","upcoming  film directed by Joshiy"
"Q7916179","Vartamaan","film directed by Manish Gupta"
"Q7880261","Ultimate Tornado",NA
"Q7771274","The Unattractive Revolution Tour","2008 film"
"Q7768607","The Textbooks","1990 film"
"Q7781250","Themes and analysis of No Country for Old Men","film"
"Q7862859","U, Bomsi & Me","2005 film"
"Q7907835","Vaareva","2011 film"
"Q7918133","Veera Jagathis","1938 film"
"Q7924443","Viacrucis nacional","1988 film"
"Q7773592","The Warrior","2006 film by Tsui Hark"
"Q7911733","Valiyangadi","2010 film by Salim Baba"
"Q7836052","Traveller","2010 short film directed by Sam Chegini"
"Q7773497","The War Zone 3D","film directed by Matthew Dickens"
"Q7773413","The Wanderer in Bulgar","1989 film"
"Q7806581","Times of Our Lives","film"
"Q7804754","Timbrels and Torahs","2000 film"
"Q7783976","Thief and Magistrate","1955 film"
"Q7818152","Tom and Jerry: Festival of Fun","film"
"Q7845564","Trooper Clerks","2003 film"
"Q7851718","Tui Jodi Aamar Hoiti Re","2008 film"
"Q7851971","Tulasi Dalam","film"
"Q7930362","Villa Horror","2006 film by Heng Tola"
"Q7835295","Transportation of Coal","1907 film by Vasil Amashukeli"
"Q7879130","Ullam","2012 film"
"Q7958586","Waarish","2004 film by Kaushik Ganguly"
"Q7899908","Urban Freestyler","film"
"Q7928102","Vidiyal","2013 film"
"Q7935291","Virus Diwan","film"
"Q7775930","The World According to John Coltrane","1990 film by Robert Palmer"
"Q7818764","Tomchi","2012 film by Rajesh Gupta"
"Q7796917","Thotta Chinungi","1995 film by K. S. Adhiyaman"
"Q7799527","Thway","2003 film by Koji Chino"
"Q7810952","To Have or Not to Have","2001 film by Niki Karimi"
"Q7837714","Trees Cry for Rain","1989 film directed by Bonnie Burt"
"Q7774405","The Wheels on the Bus","film"
"Q8891302","Q8891302","1989 film by James Parrott"
"Q8060213","Yuddha Kaanda","1989 film"
"Q9026235","Q9026235","2002 film"
"Q9020819","Q9020819","1988 film"
"Q9060443","Q9060443","2006 film"
"Q9096162","Q9096162","2009 film"
"Q8192882","Love in the Time of Gum","2008 film"
"Q9132423","Q9132423","2004 film"
"Q9137901","Q9137901","1997 film"
"Q9147440","Q9147440","2004 film"
"Q8248569","Blad schizophrène","2007 film"
"Q9165794","Q9165794","film"
"Q9167933","Q9167933","2003 film"
"Q9164648","Q9164648","1977 film"
"Q9167930","Q9167930","2004 film"
"Q9182934","Q9182934","2005 film"
"Q9149873","Q9149873","1974 film by Lechosław Marszałek"
"Q9192402","Q9192402","2009 film"
"Q9196998","Q9196998","2004 film"
"Q9197023","Q9197023","1996 film"
"Q9165155","Q9165155","2004 film by Andrzej Kondratiuk"
"Q9189874","Q9189874","1918 film by Boris Sushkevich"
"Q8078157","Ég var einu sinni nörd","2000 film"
"Q8073444","Zohar","2012 Arabic-language film directed by Asma El Mouttaki"
"Q9168443","Q9168443","2010 film by Ryszard Maciej Nyczka"
"Q9017658","Kirameki Project","2005 OVA by Studio Fantasia"
"Q8064329","Zaga Pyaw Thaw Athe-Hnalon","1968 film directed by Thukha"
"Q9142883","Airport","1981 Polish film"
"Q8054540","Yokai Monsters","film"
"Q8058498","Young Woodley","1928 film by Thomas Bentley"
"Q8062138","Yuvataram Pilicindi","1985 film by P. Bharathiraja"
"Q9143557","Q9143557","2010 film by Michael Landon, Jr."
"Q9158101","Q9158101","1974 film by Tamara Sołoniewicz"
"Q9164643","Q9164643","1994 film by Franciszek Trzeciak"
"Q9176072","Q9176072","2010 film by Jerzy Jernas"
"Q9019329","Q9019329","2009 film by Josu Martinez"
"Q9051243","Nzambi Mpungu","1928 film by Ernest Genval"
"Q9137903","Q9137903","1986 film by Roman Wionczek"
"Q9156142","Q9156142","1973 film by Wojciech Fiwek"
"Q9198403","Q9198403","1993 film by Wanda Rollny"
"Q8875351","Hope","2006 Telugu film directed by Satish Kasetty"
"Q9141190","Q9141190","1984 film by Grzegorz Warchoł"
"Q9142187","Q9142187","1972 film by Anette Olsen"
"Q9160381","Q9160381","1975 film by Maciej Englert"
"Q9182849","Q9182849","2004 film by Ylli Pepo"
"Q9192899","City","2004 film by Maciej Odoliński"
"Q8858166","Train Heroes","film"
"Q9140639","Q9140639","1998 film by Krzysztof Magowski"
"Q9008198","In Darkness Dwells","film"
"Q8250724","Bone Breaker","2005 film by Sergio Esquenazi"
"Q8069095","Zenigata Heiji: Human-skin Spider","1956 film"
"Q9158416","Matches Appeal","film"
"Q8961172","Fencewalker","2010 unreleased film by Chris Carter"
"Q9127856","10.04.10","2011 film by Anita Gargas"
"Q9155948","Annemiek (I wanna be with you)","1997 film directed by Rineke Dijkstra"
"Q8346211","Q8346211","2007 film"
"Q8074751","Zpověď Dona Juana","1991 film directed by Jaroslav Dudek"
"Q9210642","The Drama of the St. Mary's Church Tower","1913 film by Wiktor Biegański"
"Q9338333","Skull and Crown","1914 film"
"Q9207613","Q9207613","2007 film"
"Q9207485","Q9207485","2000 film"
"Q9208243","Q9208243","2002 film"
"Q9207599","Q9207599","1973 film"
"Q9202411","Q9202411","1972 film"
"Q9248332","Q9248332","2006 film"
"Q9248320","Q9248320","film"
"Q9248889","Q9248889","film"
"Q9252935","Q9252935","2002 film"
"Q9259152","Q9259152","1974 film"
"Q9282240","Q9282240","2006 film"
"Q9285547","Q9285547","2011 film"
"Q9282338","Q9282338","film"
"Q9285550","Q9285550","2008 film"
"Q9292576","Q9292576","2006 film"
"Q9295340","Q9295340","1993 film"
"Q9259698","Q9259698","2010 film by Grzegorz Artman"
"Q9292910","Q9292910","1997 film"
"Q9258121","Q9258121","1913 film by Abraham Izaak Kamiński"
"Q9313077","Q9313077","film"
"Q9313032","Q9313032","1977 film"
"Q9325542","Q9325542","1980 film"
"Q9318176","Q9318176","2004 film"
"Q9333227","Q9333227","2010 film"
"Q9332728","Q9332728","film"
"Q9332908","Q9332908","film"
"Q9333796","Q9333796","1997 film"
"Q9350812","Q9350812","2011 film"
"Q9345881","Q9345881","film"
"Q9352329","Q9352329","2008 film"
"Q9351326","Q9351326","film"
"Q9353516","Q9353516","2008 film"
"Q9356326","Q9356326","2007 film"
"Q9355212","Q9355212","1993 film"
"Q9338870","Q9338870","1985 film"
"Q9355325","Q9355325","1998 film"
"Q9361106","Q9361106","2008 film"
"Q9362245","Q9362245","2001 film"
"Q9363479","Q9363479","2012 film"
"Q9363868","Q9363868","film"
"Q9369503","Q9369503","film"
"Q9336992","Q9336992","film directed by Bodo Kox"
"Q9371758","Q9371758","1997 film"
"Q9355215","Q9355215","1976 film by Mieczysław Waśkowski"
"Q9357060","Q9357060","2008 documentary film directed by Leszek Gnoiński"
"Q9253590","Q9253590","2005 film by Piotr Matwiejczyk"
"Q9254382","Q9254382","1986 film by Mieczysław Waśkowski"
"Q9325306","Q9325306","2006 film by Dominik Matwiejczyk"
"Q9334694","Q9334694","1978 film by Sławomir Idziak"
"Q9340591","Q9340591","1977 film by Janusz Kidawa"
"Q9361821","Q9361821","documentary film directed by Jan Walencik"
"Q9364492","Q9364492","film directed by Dominik Matwiejczyk"
"Q9248926","Dziobem i pazurem","Polish film directed by Krystian Matysek"
"Q9361134","Q9361134","2012 film by Grzegorz Braun"
"Q9361632","Q9361632","1996 film by Krystyna Janda"
"Q9258878","Femina","1990 film by Piotr Szulkin"
"Q9263180","Franciszkański spontan","1998 documentary film by Magdalena Piekorz"
"Q9345805","Steven Adler's Getting Started With Rock Drumming","2009 film by Steven Adler"
"Q9311260","Robin Hood - fourth arrow","1997 film by Władysław Sikora"
"Q9368864","Violetta V. - taka jestem","1999 film by Elżbieta Skrętkowska"
"Q9339346","Q9339346","2010 film by Ewa Stankiewicz"
"Q9293171","Hobby","2003 film by Dariusz Nojman"
"Q9333841","Christina","1918 Georgian silent movie"
"Q9305111","Redefining Normal","2008 film"
"Q9208136","Q9208136","1993 film by Janusz Majewski"
"Q9210838","Q9210838","1981 film by Ryszard Ber"
"Q9248910","Q9248910","2001 film by Bohdan Sláma"
"Q9248335","Q9248335","2006 film by Michael Hurst"
"Q9248333","Q9248333","2006 film by Michael Hurst"
"Q9337675","Q9337675","2008 film by Malgorzata Gryniewicz"
"Q9364362","Q9364362","film directed by Mathias Mezler"
"Q9366901","Q9366901","1993 film by Janusz Majewski"
"Q9275155","Q9275155","1985 film by Dominik Wieczorkowski-Rettinger"
"Q9337360","Six Degrees: Could Change the World","film"
"Q9335318","Sentymenty","1977 film"
"Q9360392","Tournament of Dreams","2006 film"
"Q9369508","Q9369508","2002 film by Ryszard Bugajski"
"Q9369520","Q9369520","2011 film by Ewa Ewart"
"Q9266634","Q9266634","2006 film by Anna Ferens"
"Q9292927","Historia polskiego rocka","2008 documentary film directed by Leszek Gnoiński"
"Q9363561","Tylko tobie","1995 film"
"Q9337175","Q9337175","1984 film by Krzysztof Zanussi"
"Q9355324","Q9355324","documentary film directed by Ryszard Kruk"
"Q9369507","Q9369507","1970 film by Andrzej Zakrzewski"
"Q9248650","Q9248650","2009 film by Ewa Pięta"
"Q9257768","Q9257768","1986 film by Piotr Łazarkiewicz"
"Q9363184","Twentieth Century","2010 film"
"Q9338966","Q9338966","2006 film by Bodo Kox"
"Q9340394","Sponsor","film"
"Q9358907","Q9358907","2000 film by Sylwester Latkowski"
"Q9369113","Q9369113","2006 film by Grzegorz Warchoł"
"Q9199740","Q9199740","1986 film by Barbara Borys-Damięcka"
"Q9212766","Q9212766","2008 film by Maciej Bodasiński"
"Q9248781","Q9248781","2006 film by Marek Sołek"
"Q9347369","Q9347369","2006 film by Dariusz Nojman"
"Q9366899","Q9366899","1976 film by Janusz Majewski"
"Q9368867","Violetta Villas","1989 film by Zbigniew Kowalewski"
"Q9334148","Scandinavian Nights (Live in Denmark)","1987 film"
"Q10339397","O Menino Maluquinho","book by Ziraldo Alves Pinto"
"Q10289210","Geri's World Walkabouts","2000 film"
"Q10304451","Ivo Branco","1993 film"
"Q10287007","Fátima Story","1976 film directed by António de Macedo"
"Q9559116","Q9559116","2002 film"
"Q9559378","Q9559378","2007 film by Fabiano Maciel"
"Q9624316","Q9624316","2008 film"
"Q9649435","Q9649435","film"
"Q9624435","Q9624435","1975 film by Ricardo Costa"
"Q9629278","Q9629278","film directed by Hamid Nematollah"
"Q9629331","Q9629331","film directed by Hamid Nematollah"
"Q9663964","Q9663964","1971 film"
"Q10280263","Fatal","2005 film by Pedro Sousa"
"Q9697851","Q9697851","2006 film"
"Q9694802","Q9694802","film"
"Q9694812","Q9694812","film"
"Q9762273","Q9762273","2010 film"
"Q10283137","Focus / Refocus","2009 film"
"Q9858912","Q9858912","2004 film"
"Q10065718","Q10065718","film"
"Q10077820","Q10077820","film"
"Q9694792","Q9694792","1975 film directed by António-Pedro Vasconcelos"
"Q9694796","Q9694796","1975 film directed by António-Pedro Vasconcelos"
"Q9635687","The Who at Kilburn: 1977","2008 film by Chris Stamp, Kit Lambert, The Who"
"Q10259936","Q10259936","film"
"Q10265402","Q10265402","film"
"Q10264528","Q10264528","1976 film"
"Q10271769","Q10271769","2007 film"
"Q10278325","Q10278325","2006 film"
"Q10277766","Q10277766","2012 film"
"Q10283306","Q10283306","film"
"Q10284439","Q10284439","film"
"Q10291549","Q10291549","film"
"Q10295120","Q10295120","play"
"Q10317913","Q10317913","2006 film"
"Q10316720","Q10316720","2000 film"
"Q10319898","Q10319898","film"
"Q10327464","Q10327464","2011 film"
"Q10321894","Q10321894","2002 film"
"Q10324825","Q10324825","film"
"Q10324840","Q10324840","film"
"Q10328380","Q10328380","2006 film"
"Q10323473","Q10323473","2009 film"
"Q10326107","Q10326107","film"
"Q10323680","Q10323680","2009 film"
"Q10329008","Q10329008","2005 film"
"Q10331053","Q10331053","film"
"Q10338411","Q10338411","2010 film"
"Q10332587","Q10332587","2009 film"
"Q10335528","Q10335528","film"
"Q10339492","Q10339492","2010 film"
"Q10339557","Q10339557","2008 film"
"Q10295990","Q10295990","1912 film by Max Urban"
"Q10339112","Q10339112","1998 film"
"Q10339483","Q10339483","film"
"Q10339579","Q10339579","film"
"Q10339037","Q10339037","2005 film"
"Q10338919","Q10338919","2009 film"
"Q10338823","Q10338823","1969 film"
"Q10296748","A Test of Love","film"
"Q9638063","Q9638063","1974 film by Oswaldo Caldeira"
"Q9633125","Assassin","film"
"Q10295259","Q10295259","2008 film by Luca Amberg"
"Q10272474","Emoções Sexuais de um Jegu","1986 film by Sady Baby"
"Q10328587","Memória e História em Utopia e Barbárie","2005 film by Silvio Tendler"
"Q10262451","Q10262451","2008 film by Miguel Gonçalves Mendes"
"Q10282944","Q10282944","2007 film by Miguel Gonçalves Mendes"
"Q10266869","Dirty Money","2010 film"
"Q10337106","Q10337106","1975 film directed by Ricardo Costa"
"Q10339518","Q10339518","1976 film by António de Macedo"
"Q9667839","Brutal Part 1 and 2","film"
"Q10294104","He Touched Me - The Gospel Music of Elvis Presley","film"
"Q10306720","Jersey Score","2009 film"
"Q10318897","Q10318897","1930 film by José Leitão de Barros"
"Q10307919","Johnny Love","1987 Brazilian film"
"Q10296782","Some Like It Hot","2008 film"
"Q10260707","Q10260707","2008 film by Pedro Sena Nunes"
"Q10276567","Q10276567","2009 film by Paulo Alcântara"
"Q10263469","D.O.P.E.","2008 film"
"Q10295503","High School Musical 3 Senior Year Simples","2008 film"
"Q10325752","Q10325752","2006 film by Andrucha Waddington"
"Q10338375","Não Matarás","2005 documentary film"
"Q10329678","Midnight Sun","2004 DVD of Cirque du Soleil"
"Q10316528","Laura, Laura","2005 film"
"Q10323483","Q10323483","1989 film by Ricardo Favilla"
"Q10338383","Q10338383","2008 film by Charles Daves"
"Q10339502","Q10339502","1984 film by Ricardo Costa"
"Q10261174","Costa Brava","2010 gay pornographic film directed by Kristen Bjornfilm"
"Q10324832","Maquette","film"
"Q10385612","Turma da Mônica em: O Mônico e Outras Histórias","1997 film by Maurício de Sousa"
"Q10377915","Taken to the lowest level","2009 film"
"Q10340893","On the Side of the People","film"
"Q10339790","Q10339790","2007 film"
"Q10340200","Q10340200","film"
"Q10339977","Q10339977","2005 film"
"Q10342126","Q10342126","film"
"Q10339825","Q10339825","2009 film"
"Q10347120","Q10347120","2009 film"
"Q10359007","Q10359007","film"
"Q10359574","Q10359574","film"
"Q10360052","Q10360052","2005 film"
"Q10364687","Q10364687","1991 film"
"Q10365041","Q10365041","2009 film"
"Q10372499","Q10372499","2010 film"
"Q10369216","Q10369216","film"
"Q10372503","Q10372503","2012 film"
"Q10379328","Q10379328","2009 film"
"Q10385370","Q10385370","2007 film"
"Q10379913","Q10379913","2013 film"
"Q10387315","Q10387315","2008 film"
"Q10388038","Q10388038","film"
"Q10390458","Q10390458","2005 film"
"Q10370037","Q10370037","1955 film"
"Q10397425","Q10397425","2000 film"
"Q10396492","Q10396492","1977 film"
"Q10402472","Q10402472","film"
"Q10383925","Q10383925","1972 film"
"Q10409929","Q10409929","film"
"Q10379207","Q10379207","1967 film by Oswaldo Caldeira"
"Q10422130","Q10422130","film"
"Q10431802","Q10431802","2007 film"
"Q10387289","Q10387289","2006 film by Victor Lopes"
"Q10437101","Q10437101","1979 film"
"Q10397081","Q10397081","2006 film by Martin Borgs"
"Q10425248","Q10425248","1954 film"
"Q10464810","Q10464810","film"
"Q10468822","Q10468822","2010 film"
"Q10424868","Q10424868","1970 film by Jan Halldoff"
"Q10466020","Q10466020","2002 film"
"Q10476449","Q10476449","2005 film"
"Q10478664","Q10478664","1998 film"
"Q10437092","Q10437092","1910 film by Gustaf Linden"
"Q10468628","Q10468628","1972 film"
"Q10474955","Q10474955","1959 film"
"Q10474953","Q10474953","1943 film"
"Q10474954","Q10474954","1942 film"
"Q10424023","Baby Face","1977 film directed by Alex de Renzy"
"Q10467398","Q10467398","1916 film by Georg af Klercker"
"Q10377970","Talking with Dog","2008 film"
"Q10426855","Otokogumi","manga"
"Q10344125","Q10344125","2005 film by Oswaldo Caldeira"
"Q10432780","Slippery When Wet","1987 Bon Jovi DVD"
"Q10397402","Q10397402","1944 film by Sölve Cederstrand"
"Q10405457","Q10405457","1941 film by Ragnar Arvedson"
"Q10436972","Q10436972","1912 film by Eric Malmberg"
"Q10469937","Q10469937","2012 film by Folke Johansson Ängel"
"Q10469983","Q10469983","1912 film by Eric Malmberg"
"Q10483197","Q10483197","1925 film by John W. Brunius"
"Q10385613","Turma da Mônica em: O Bicho-Papão","1987 film by Maurício de Sousa"
"Q10430938","Bland vildar och vilda djur","1921 film by Oscar Olsson"
"Q10339896","Q10339896","1975 film directed by Ricardo Costa"
"Q10341932","Q10341932","2004 film by Maria Cláudia Oliveira"
"Q10430844","Black Widow","2002 film"
"Q10355499","Punks","1984 Brazilian film"
"Q10384510","Q10384510","1975 film directed by Ricardo Costa"
"Q10405194","Q10405194","2008 film by Lasse Zackrisson"
