"production_companies","production_countries"
"Atomic Light Pictures","United States of America"
"Columbia TriStar Home Entertainment","United States of America"
"Atchafalaya","United States of America"
"Norstar Entertainment","Canada"
"Samuel Goldwyn Company","Ireland"
"National Film Development Corporation of India","France"
"Téléfilm Canada","United States of America"
"Degeto Film","Germany"
"Ellepi Films","Italy"
"Lifetime TV","United States of America"
"AMLF","France"
"USS Poseidon","United States of America"
"Nine Continents Film Production Co.","Hong Kong"
"Baldwin Entertainment Group","United States of America"
"Fidelity Films","United States of America"
"Top Knot Productions","United States of America"
"Tricastle","United Kingdom"
"DB Entertainment","Canada"
"La Sept Cinéma","France"
"Allegro Films","Canada"
"Mafilm","Hungary"
"NEST Family Entertainment","none"
"Common People Productions","United States of America"
"Tritone Cinematografica","Italy"
"Narsimha Enterprises","India"
"Shavick Entertainment","United States of America"
"Les Films d'Ici","Argentina"
"Vestron Pictures","United Kingdom"
"Lenfilm Studio","Russia"
"Atlantic Releasing Corporation","United Kingdom"
"Cerito Films","Cameroon"
"Island Pictures","United Kingdom"
"Lance Entertainment","Canada"
"Extra Large Productions","Canada"
"Michael White Productions","India"
"To """"Ekran""""","none"
"Flamingo Film","Denmark"
"Flamingo","Denmark"
"SF Norge Produksjon","Norway"
"Sub Pop Records","United States of America"
"Siriol Productions","United Kingdom"
"Samba P.C.","Spain"
"Les Films de la Tour","France"
"New Century Productions","United States of America"
"Smart Egg Pictures","United Kingdom"
"APPP","Japan"
"Roundhouse","United States of America"
"New World Pictures","Canada"
"Micro scope","Canada"
"Studio 18","United Kingdom"
"Rhône-Alpes Cinéma","Belgium"
"BS24","United States of America"
"Japan Home Video (JHV)","Japan"
"Great Highway Company","South Korea"
"Film Gallery","Canada"
"Cinematograph AB","Germany"
"National Film Development Corporation of India (NFDC)","India"
"Bayerischer Rundfunk","Germany"
"Zespól Filmowy """"Tor""""","Germany"
"Herald Ace","Japan"
"Bear Creek","United States of America"
"Excellent Film","Japan"
"United Artists","Brazil"
"NEF Diffusion","France"
"Dimension Pictures","Hong Kong"
"Antron Media Production","United States of America"
"Utu Productions","New Zealand"
"Flower Films","United States of America"
"ZDF","United Kingdom"
"Emiliano Piedra P.C.","Spain"
"Pelemele Film","Germany"
"NIR","Italy"
"The Salt Company International","United Kingdom"
"Curtco","United States of America"
"Winter Gold Productions","United States of America"
"Ithaca Pictures","United States of America"
"Nu Image Films","South Africa"
"Filmstar Productions Inc.","United States of America"
"Namco","United States of America"
"Prospectacle","France"
"Corporación Nacional Cinematográfica (CONACINE)","Italy"
"Cinesud","Italy"
"Motown Productions","United States of America"
"Bavaria Film","France"
"Vides Cinematografica","Italy"
"Bioskop-Film GmbH","France"
"Cinema Arts Associated","United States of America"
"Compagnia Cinematografica Champion","Canada"
"Companhia Cinematográfica Serrador","Brazil"
"Reggane Films","Cote D'Ivoire"
"The  First Musical Company","United States of America"
"Turner Entertainment","United States of America"
"Omega Entertainment","India"
"City Film","Germany"
"Light Song Films","United States of America"
"Midwest Films","United States of America"
"Elliott Kastner Productions","United States of America"
"Angel Productions","France"
"New Symphony Pictures","United States of America"
"Casa de Filme 4","Romania"
"Golden Harvest Productions","none"
"RAI","Italy"
"David Grubin Productions","United States of America"
"Ripley/Monter Productions","United States of America"
"Hit the Ground Running Films","United States of America"
"Regner Grasten International","Denmark"
"Screen Australia","Australia"
"Pocketbook Productions","Canada"
"Hearst Entertainment Productions","United States of America"
"SML (Hong Kong) Limited","Hong Kong"
"Argonaut Film","United Kingdom"
"Boettcher/Trinklein Productions","United States of America"
"Natural Nylon Entertainment","United States of America"
"쇼박스(주)미디어플렉스","South Korea"
"ApolloProMovie & Co. 2. Filmproduktion","none"
"The Movie Group","none"
"Arturo Productions","France"
"Trio International","Italy"
"Elías Querejeta Producciones Cinematográficas S.L.","none"
"Surreal Films","United Kingdom"
"Época Films S.A.","Spain"
"BBS Productions","United States of America"
"Max Baer Productions","United States of America"
"Television Corporation of America","United States of America"
"Elkins Productions International Corporation","United Kingdom"
"Boxoffice International Pictures (BIP)","United States of America"
"World Film Services","United Kingdom"
"Compass/Zenith International","United States of America"
"Radnitz/Mattel Productions","United States of America"
"Tandem Productions","United States of America"
"Universal Marion Corporation (UMC)","United States of America"
"Royal Shakespeare Company","Denmark"
"Phoenix Cinematografica","Italy"
"Scimitar Films","United States of America"
"Internacional Cinematográfica","Mexico"
"Kim Ki-Young Production","South Korea"
"La Centrale Cinématographique","France"
"Scimitar Productions","United Kingdom"
"Maglan","United States of America"
"Isabelle Films","France"
"Telepool","United States of America"
"Angels Productions","United States of America"
"Gloria Swanson Pictures","United States of America"
"Linebrook","United States of America"
"Hal Roach Studios","Canada"
"Sahamongkol Film","Thailand"
"Paragon Arts International","United States of America"
"Lifetime","United States of America"
"Lisa Demberg Productions","United States of America"
"Ambush Entertainment","United States of America"
"Continental Film","United States of America"
"Adams Apple Film Company","United States of America"
"The Where's Poppa Company","United States of America"
"Film Horizon","United States of America"
"Comptoir Français du Film Production (CFFP)","Italy"
"Red Bucket Films","United States of America"
"West End Productions","United States of America"
"Fénix Cooperativa Cinematográfica","Liechtenstein"
"Frankovich Productions","United Kingdom"
"The Foundation","United States of America"
"Kayos Productions","United States of America"
"Hom-AG für Filmfabrikation","Germany"
"Vineyard Film Ltd.","United States of America"
"Hallmark","United States of America"
"Harrington Talents","United States of America"
"Obsidian Production","United States of America"
"Pedro & Branko","Portugal"
"DNA Cinematografica","Italy"
"National General Production Inc.","United States of America"
"Herman Cohen Productions","United Kingdom"
"Arco Film","Italy"
"Trimod Films","United States of America"
"Omega-Cyrano Productions","United States of America"
"Proteus Films","United States of America"
"Los Altos Productions","United States of America"
"Harold Hecht Productions","United States of America"
"Tigers Den Studios","United States of America"
"Quiet Films Inc.","United States of America"
"Stein Film","United States of America"
"Park Place Production","United States of America"
"MAFILM 3. Játékfilmstúdió","Hungary"
"Constantin Film","United Kingdom"
"Universal","United States of America"
"Standard Club of California Productions Inc.","United States of America"
"Harrell","United States of America"
"Channel Four Films","Italy"
"Oceania Produzioni Internazionali Cinematografiche","France"
"Sirena Film","France"
"Andrew L. Stone Productions","United States of America"
"Project Campo J.V.","Russia"
"Les Productions Fox Europa","Italy"
"Tju-Bang Film","Denmark"
"Chrystal Films","Canada"
"Sanrio Communications","Japan"
"Joseph E. Levine Productions","United States of America"
"Samuel Bronston Productions","Spain"
"Ernst Neubach-Film","Germany"
"Luther Davis Productions","United States of America"
"Emblem Productions","United Kingdom"
"Pathé Exchange","United States of America"
"Les Films Marcel Pagnol","France"
"Gaumont-Franco Film-Aubert (G.F.F.A)","France"
"SFS Films","Russia"
"Metro-Goldwyn-Mayer British Studios","United Kingdom"
"Armitage Film Productions Ltd","United Kingdom"
"Production Film 82","Italy"
"GPS","Italy"
"7.23 Productions","United States of America"
"Sci Fi Pictures","United States of America"
"Larry Levinson Productions","South Africa"
"Sci Fi Pictures","Canada"
"Cohlan / Temple Productions","United States of America"
"Big Finish Media","United States of America"
"Fading of the Cries","United States of America"
"Makar Productions","United Kingdom"
"Field Guide Media","United States of America"
"Zuffa","United States of America"
"Первый Канал","Russia"
"Fourstar","none"
"Future Films","Spain"
"British Topical Committee for War Films","United Kingdom"
"Mon Voisin Productions","France"
"Stigma Company, The","United States of America"
"Cinematográfica ABSA","Mexico"
"Cinematográfica Sol S.A.","Mexico"
"Cinematografica Cervi","Italy"
"Embassy Pictures","United States of America"
"Central Cinema Company Film","France"
"Avala Film","Serbia and Montenegro"
"Produzioni Atlas Consorziate (P.A.C.)","France"
"Stag Films","United States of America"
"Explorer Film '58","France"
"MelinaFilm","Greece"
"Alexandra Films","United Kingdom"
"Bloch/Woodfield Productions","United States of America"
"Knightsbridge Films","United Kingdom"
"Tordenfilm AS","Norway"
"Columbia Tristar","Ireland"
"3rd Vision Films","Taiwan"
"Essaness Pictures","Australia"
"Markland Productions","United States of America"
"Artistes Alliance Ltd.","United Kingdom"
"Albert Zugsmith Productions","United States of America"
"Cinematografica Associati (CI.AS.)","Germany"
"Zebra Films","France"
"Les Films Marceau-Cocinor","France"
"Prometheus Film Productions Ltd","United Kingdom"
"Hollywood Pictures Corporation","United States of America"
"Layton Film Productions Inc.","United States of America"
"Perlsea Company","United States of America"
"Don Hartman Productions","United States of America"
"Hallmark Productions","United States of America"
"Domino Film","none"
"Lyara Films","Thailand"
"Signal Hill Pictures","United States of America"
"Chicago Overcoat Productions","United States of America"
"Regal Films Inc.","United States of America"
"Malibu Productions","United States of America"
"Marquette Productions Ltd.","United States of America"
"B&H Productions Inc.","United States of America"
"Cambridge Productions","United States of America"
"Edmund Grainger Productions","United States of America"
"Tornasol Films","Portugal"
"Kaydor","United Kingdom"
"Northern Lights","Norway"
"Russ-Field Productions","United States of America"
"Producciones Tepeyac","Mexico"
"Clasa Films Mundiales","Mexico"
"Z-M Productions","United States of America"
"Dowling Productions","United States of America"
"J. Arthur Rank Organisation","United Kingdom"
"Three Dimension Pictures","United States of America"
"Compagnie Commerciale Française Cinématographique (CCFC)","France"
"P.D.C.","Italy"
"Shintoho Film Distribution Committee","Japan"
"A Ronald Neame Production","United Kingdom"
"Wald/Krasna Productions","United States of America"
"Spera Productions Inc.","United States of America"
"Union Générale Cinématographique (UGC)","France"
"Capitolium","Italy"
"Colonial Productions","United States of America"
"Le May-Templeton Pictures","United States of America"
"Occult Films","United States of America"
"Mars Films","France"
"The Mirisch Production Company","United States of America"
"Televisión Española (TVE)","Argentina"
"Aristarain P.C.","Spain"
"Egoli Tossell Film AG","France"
"Tevere Film","Italy"
"Universalia Film","Italy"
"Michael Curtiz Productions","United States of America"
"RKO Pictures","Mexico"
"PRC","United States of America"
"Societa Cooperativa Alfa Cinematografica","Italy"
"Les films du Worso","France"
"Syfy","United States of America"
"Sydney Box Productions","United Kingdom"
"Spring Films","Philippines"
"Sony BMG Music Entertainment","United States of America"
"Dean Film","Italy"
"C.G. Silver Film","none"
"DVD International","none"
"Phước Sang Film","South Korea"
"R&C Produzioni","Italy"
"Virginia Produzioni","Italy"
"Nimbus Film Productions","New Zealand"
"John Krimsky and Gifford Cochran Inc.","United States of America"
"Elite-Tonfilm-Produktion GmbH","Germany"
"Productions Arys","France"
"D & R Film Project","United States of America"
"Lighthouse Pictures","France"
"Pierre Javaux Productions","France"
"Société Radio-Canada","Canada"
"China Entertainment Films Production","Hong Kong"
"Renegade Pictures","United States of America"
"Tradewind Pictures","Germany"
"Sacred Cow Productions","United States of America"
"Overseas FilmGroup","Germany"
"HareBrained Pictures","United States of America"
"Globo filmes","Brazil"
"Cedarwood Productions","United States of America"
"Bull Market Entertainment","United States of America"
"Equinoxe Films","Canada"
"Sony Music","Puerto Rico"
"Aviator Films","United States of America"
"Lorac Productions","Germany"
"Academy International","United States of America"
"Seville Productions","Canada"
"Next Turn Productions","United States of America"
"Talkback Thames","United Kingdom"
"BTG McInnes Corporate Finance","United Kingdom"
"Neofilm","United States of America"
"Sonnis","United States of America"
"Penta Films","Spain"
"Jim McCullough Productions","United States of America"
"Boshra Film","Iran"
"Aftab Negaran Institute","Iran"
"Fouad Nahas","Iran"
"Frank Ross-Norma Krasna Inc.","United States of America"
"Grafton Films","United Kingdom"
"Irving Asher Productions","United Kingdom"
"Societé d'Exploitation et de Distribution de Films (SEDIF)","France"
"Nero Films","France"
"Daiichi Eiga","Japan"
"Panthéon Productions","France"
"Pioneer Pictures Corporation","United States of America"
"Jean-Louis Nounez","France"
"Atlantik Film","Bulgaria"
"Epic Productions","France"
"First Look Entertainment","United States of America"
"Angoa-Agicoa","Canada"
"Samuel Goldwyn Films","United States of America"
"Omnilab Media","Australia"
"Vertigo Entertainment","United Kingdom"
"Arte France Cinéma","Cambodia"
"They Are Going To Kill Us Productions","United States of America"
"Chad Troutwine Films","United States of America"
"Cooper's Town Productions","United States of America"
"Gateway Films","United Kingdom"
"Reiner / Greisman Productions","United States of America"
"Tyler Perry Studios","United States of America"
"Nickelodeon Movies","none"
"Facets Multimedia Distribution","Iran"
"Open City Entertainment","Iran"
"Mij Film Co.","Austria"
"Stribling Productions","United States of America"
"Picturesque Pictures","Canada"
"Ognon Pictures","Bulgaria"
"BHE Films","United Kingdom"
"logan films","United States of America"
"Paradise Films","France"
"Independent Pictures (II)","United States of America"
"Jesse L. Lasky Feature Play Company","United States of America"
"TPS Star","Belgium"
"Defilm","Germany"
"WWE Studios","United States of America"
"Juma Film","Italy"
"International Pictures (I)","United States of America"
"Frankestein Entertainment","United States of America"
"AGS Entertainment","none"
"Fresh & Smoked","United States of America"
"Picture Players Productions","United Kingdom"
"Cineye Films","India"
"LWR Productions","Canada"
"Makhmalbaf Productions","Iran"
"Ashtianfilm Production","Iran"
"Good News","Egypt"
"Glyndebourne Festival Opera","United Kingdom"
"Lion Rock Productions","China"
"Bigger Pictures Limited","United Kingdom"
"Sol M. Wurtzel Productions","United States of America"
"Favorite Films","Belgium"
"Augustus Film","Palestinian Territory"
"Tai Entertainment","Thailand"
"Different Duck Films","United States of America"
"Stone Productions","United States of America"
"The Novice LLC","United States of America"
"Saba Films","Mexico"
"TLA Releasing","Brazil"
"American Media Group","United States of America"
"Australian Film Finance Corporation","United Kingdom"
"Matador Pictures","France"
"Laguna Films","Colombia"
"Union Film Company","Hong Kong"
"Filmstiftung Nordrhein-Westfalen","France"
"Crazy Wheels Film Corporation","Canada"
"Digital Nasties","none"
"Constellation Entertainment","Canada"
"Si Litvinoff Film Production","United Kingdom"
"Gordon Films UK","United Kingdom"
"Scion Films Limited","United Kingdom"
"PRD","United States of America"
"DeMille Pictures Corporation","United States of America"
"Secol Superbo e Sciocco Produzioni","Italy"
"Budderfly Productions","United States of America"
"China Film Group","China"
"GS Films","United States of America"
"mr. kirby productions","United States of America"
"CBS Music Video (CMV) Enterprises","Australia"
"Pensylvania Academy of Fine Arts","United States of America"
"Graduation","United States of America"
"Primetime Pictures","United States of America"
"Jad Films","France"
"Cinema Post Production Ltd.","Israel"
"Cinétéléfilms","France"
"Universidad del Cine","Argentina"
"Canal Horizons","France"
"Delux Productions","Luxembourg"
"First Run Features","United Kingdom"
"Mediaset","Italy"
"Warner Home Video","Canada"
"Cranium Entertainment","United States of America"
"Hollywood Gang Productions","Italy"
"Les Films du Losange","Colombia"
"Hochschule für Bildende Künste Hamburg","Germany"
"British Broadcasting Corporation (BBC)","Japan"
"Lynch Films","United States of America"
"Triskel Films","France"
"Yerevan Film Studio","Russia"
"Elmbournefilms","United Kingdom"
"Great British Films","United Kingdom"
"Tali Shalom Ezer Productions","Israel"
"Victorious Films","Canada"
"lightfoot productions","United States of America"
"Synthetic Cinema International","United States of America"
"Toons'N'Tales","Germany"
"Regency Enterprises","none"
"Joe Rock Productions","United Kingdom"
"Eddie Saeta","Portugal"
"R&C Produzioni","Argentina"
"Mulberry Square Productions","United States of America"
"A Private View","Belgium"
"DEFA-Studio für Trickfilme","Germany"
"Overseas FilmGroup","Italy"
"Nest","United States of America"
"Doublesteen Productions","United States of America"
"Dancing Girl","United States of America"
"21st Century Film Corporation","United States of America"
"Moviworld","South Africa"
"Franfilmdis","France"
"Jürgen Brüning Filmproduktion","Canada"
"Koninck Studios","France"
"Really Useful Films","United Kingdom"
"cineBLAST! Productions","United States of America"
"El Deseo","Chile"
"Genta Film","Czech Republic"
"Champs-Élysées Productions","France"
"Rectangle Productions","France"
"Echo Bridge Home Entertainment","Canada"
"afm films","United Arab Emirates"
"Forum Films [ca]","Belgium"
"Initial Productions","United States of America"
"Interwood Productions","United States of America"
"Shanghai Film Studios","Hong Kong"
"Eros Entertainment","India"
"Micott & Basara K.K.","Canada"
"double A Films","United States of America"
"Dangerous Films","United Kingdom"
"Edi Hubschmid AG","Switzerland"
"Astor Pictures Corporation","United States of America"
"Amex Productions","United States of America"
"Prospect Pictures","United States of America"
"Evdon Films","Canada"
"Euro International Film (EIA)","Germany"
"Svensk Filmindustri (SF)","Denmark"
"Select Productions (III)","United States of America"
"Porchlight Films","Australia"
"Les Productions Jacques Roitfeld","United Kingdom"
"Orly Adelson Productions","United States of America"
"Press On Features","United Kingdom"
"Darclight Films","Canada"
"Five Star Production","United States of America"
"bantam street","United States of America"
"Spelling Entertainment","Canada"
"Bill McCutchen Productions","Italy"
"Bernsen-Ludwig-Bercovici Production","Italy"
"Rangoon Productions","United States of America"
"Pantheon Films","United States of America"
"K5 International","United States of America"
"Film Afrika Worldwide","South Africa"
"Avala Film","United Kingdom"
"EDKO Film","Hong Kong"
"BBC One","United Kingdom"
"Media Asia Films Ltd.","China"
"Gigi Productions","United States of America"
"Eyeworks Film","Belgium"
"Delphi II Productions","United States of America"
"Hal Roach Studios","none"
"Take One Productions","United States of America"
"Ken Kragen Productions","United States of America"
"Producciones Isla S.A.","Mexico"
"TigerTiger Productions","Singapore"
"New Horizons Picture","United States of America"
"Black Chrome Productions","United States of America"
"Universal Pictures Corporation","United Kingdom"
"Hip-O Records","none"
"DRO Entertainment","United States of America"
"Real Dakota","Russia"
"2 Entertain","United Kingdom"
"Nabi Pictures","South Korea"
"Crawfords Australia","Australia"
"Hickmar Productions","United States of America"
"Freedom Films","United States of America"
"King Rollo Films","United Kingdom"
"Sveriges Radio","Sweden"
"The Weinstein Company","China"
"Claridge Productions","United Kingdom"
"Unstoppable Entertainment","United Kingdom"
"Media Blasters","Japan"
"ABC Family","United States of America"
"Kingsize Entertainment","United States of America"
"Echo Bridge Entertainment","none"
"MB Productions","Switzerland"
"Filmarpa","Italy"
"Heritage Enterprises Inc.","United States of America"
"Five Star Production","Thailand"
"JBF","United States of America"
"Marksman Productions Ltd.","United Kingdom"
"jotti films","United States of America"
"Snowfort Pictures","United States of America"
"Argentina Sono Film S.A.C.I.","Argentina"
"Magnum Films","Canada"
"Proletkult","Russia"
"Hollywood Pictures","none"
"Waverly Productions","United States of America"
"Sony Pictures","India"
"Moving Image","Switzerland"
"Maxam","Japan"
"OneZero Productions","United States of America"
"Safehouse Pictures","United States of America"
"Eagle Pictures","South Korea"
"Rocket Racer Productions","United States of America"
"Berns Brothers Productions","United States of America"
"Shin Cine Communications","South Korea"
"France Télévision Images","France"
"Baltimore Pictures","United States of America"
"Ejve-Film","Sweden"
"Krystal Motion Picture Productions","Australia"
"AVEK","Finland"
"Axis Films International","United States of America"
"Actual Reality Pictures","United States of America"
"Mannatee Films","United States of America"
"Mercredi Films","France"
"Heliograph Productions","Australia"
"Green Jacket Productions","Sweden"
"GP Museum Soft","Japan"
"Myriad Pictures","Canada"
"LazyTown Entertainment","South Korea"
"Film Frame Productions","Thailand"
"On The Box","United Kingdom"
"Sidus FNH","South Korea"
"Oceana Media Finance","United States of America"
"Core Contents Media","South Korea"
"De Laurentiis","Italy"
"Pathfinder Pictures","United States of America"
"Powercorp","United States of America"
"Osiris Films","United States of America"
"Alliance Ltd Intl.","France"
"UIP","France"
"Inspirational Films","United States of America"
"Hunnia Filmgyár","Hungary"
"MAFILM Objektív Filmstúdió","Hungary"
"Fat Baby Pictures","United States of America"
"Adrenaline Motion Pictures","United States of America"
"Inspired Minority Pictures","South Africa"
"Curb Entertainment","United States of America"
"Ponto Filmes","Brazil"
"Roos Film","Chile"
"Cantinflas Films","Mexico"
"The Wing-Scope Film Production Ltd.","Hong Kong"
"Sidus","South Korea"
"Wing Scope Film Production","Hong Kong"
"Franco London Films","Italy"
"Film Power Company Ltd","Hong Kong"
"Oriental International Films","United States of America"
"Jean Renoir Productions","United States of America"
"Noonan-Taylor Production","United States of America"
"Moore Vision Media","United States of America"
"Butcher's Film Service","United Kingdom"
"Grand National Pictures","United Kingdom"
"Orion Pictures","Philippines"
"The Weinstein Company","United Kingdom"
"Maguire Entertainment","United States of America"
"Iron Bull Films","United States of America"
"Mancunian Films","United Kingdom"
"Tokyo FM Broadcasting Co.","Japan"
"Seafarers International Union, Atlantic & Gulf Coast District, American Federation of Labor","United States of America"
"Casa de Cinema de Porto Alegre","Brazil"
"An Olive Branch Productions","Canada"
"Mediometrini","Spain"
"ZYX Music GmbH & Co.KG","Germany"
"Dementia Home Video","United States of America"
"Hrvatska Radiotelevizija (HRT)","Serbia"
"Dansk Tegnefilm","Denmark"
"Super Serial Productions Inc.","United States of America"
"Shout! Factory","United States of America"
"New Black Films","United Kingdom"
"One Hundred Years of Film Company","Hong Kong"
"Team Work Production House","Hong Kong"
"Art Sea Films","Hong Kong"
"Regent Film","Hong Kong"
"M3 Entertainment","South Korea"
"Mei Ah Films Production Co. Ltd.","Hong Kong"
"J.S. Productions","Hong Kong"
"Win's Entertainment Ltd.","Hong Kong"
"Icon Pictures","Hong Kong"
"Grandwell Film Production","Hong Kong"
"Wong Jing's Workshop","Hong Kong"
"BIM Distribuzione","Spain"
"Jia's Motion Picture (H.K.) Co.","Hong Kong"
"Movie Impact","Hong Kong"
"Turbine Medien","Germany"
"United Filmmakers Organisation (UFO)","Hong Kong"
"IMAGE ENTERTAINMENT","Hong Kong"
"Hakuhodo Inc.","Hong Kong"
"Filmways Pictures","Serbia"
"Universal Pictures France","France"
"F G Film Productions","Canada"
"Martinelli Film Company International S.r.l.","Italy"
"Bavaria Film","Italy"
"Thump Productions","Canada"
"Black Camel Pictures","United Kingdom"
"Wildheart Films","Australia"
"Jack Parsons Productions","United Kingdom"
"Kihwik Cine","South Korea"
"Téléfilm Canada","United Kingdom"
"Evergreen","United States of America"
"Auteur Entertainment","United States of America"
"Eran Riklis Productions Ltd.","France"
"Amen Ra Films","United States of America"
"The Mark Gordon Company","Canada"
"Bronson Club Oy","Finland"
"Les Productions Artistes Associés","Italy"
"Кіностудія ім. Довженко","Ukraine"
"Pray For Morning LLC","United States of America"
"Canal+","Angola"
"Chheda Films","United States of America"
"Birdsong Pictures","United States of America"
"Dynamic Planning","Japan"
"Zuni Productions","none"
"Goldwyn Films","United Kingdom"
"Broken Sky Films","United States of America"
"Total Media Corporation","Japan"
"Lions Gate Entertainments","Canada"
"Nouvelles Éditions de Films (NEF)","Germany"
"Lion's Gate Films","United States of America"
"Zespol Filmowy """"Silesia""""","Poland"
"Kemasi Films","Dominican Republic"
"Lighthouse Home Entertainment","United States of America"
"Ministère des Affaires Étrangères","France"
"After... Films LLC","United States of America"
"Shintoho Pictures Co., Ltd.","Japan"
"Cineropa-Film","Germany"
"Alicia Produce","Spain"
"Victor Film Company","New Zealand"
"Fangoria Films","United States of America"
"Doberman Entertainment","United States of America"
"Eros Films","United Kingdom"
"a'dam films","Netherlands"
"Intandem Films","Ireland"
"Produzioni Europee Associati (PEA)","United States of America"
"Films Albatros","France"
"Bluetree Pictures","South Korea"
"Konwiser Brothers","China"
"Monarch Entertainment","Canada"
"Smashcut Films","United States of America"
"Derf Films","none"
"Cheese Film & Video","France"
"Warner Bros. Home Entertainment Group","United States of America"
"Wind Chill Films","United States of America"
"Providence Entertainment","United States of America"
"Roxy Film","Italy"
"Pacific Trust","United States of America"
"Zebra Films","Montenegro"
"5060 Productions","Russia"
"Sky Italia","Italy"
"Studio Hraných Filmov Bratislava","Slovakia"
"Swirl Films","United States of America"
"5060 Productions","United States of America"
"Dorian Films","United States of America"
"Fallon Worldwide","United States of America"
"Dania Film","France"
"British Transport Films","United Kingdom"
"Ikiru Films","Mexico"
"Off Hollywood Pictures","United States of America"
"RKO Pathé Pictures","United States of America"
"IMA Productions","Japan"
"Hardy Pictures","United Kingdom"
"Central Motion Pictures Corporation","Taiwan"
"DRC Films","United States of America"
"Bee Movies","France"
"PolyGram Filmed Entertainment","Spain"
"Maurice Cowan Productions","United Kingdom"
"Arthur Cohn Productions","United States of America"
"Atlantic Productions","United Kingdom"
"Ministère de la Culture","France"
"Metal Blade","none"
"Wakamatsu Production","Japan"
"Artwalker","Hong Kong"
"United Enterprise (H.K.) Corp.","Hong Kong"
"Mike Young Productions","United States of America"
"Richard Williams Productions","United States of America"
"Anglo-Guild Productions","United Kingdom"
"American Pictures","United States of America"
"Maipo","Norway"
"Cinema City Co., Ltd.","Hong Kong"
"Embassy Films","Italy"
"Tokyo Broadcasting System","Japan"
"Edel records GmbH","United States of America"
"Roxy Film","Belgium"
"Burbank Films Australia","Australia"
"Peru Productions","South Africa"
"fiftyfilms","United States of America"
"Black & Blue Films","United Kingdom"
"London Weekend Television (LWT)","United Kingdom"
"Stern Film","Germany"
"Why Not Productions","Cameroon"
"Centar Film","Croatia"
"Studio Hraných Filmov Bratislava","Czechoslovakia"
"Studio Hraných Filmov Bratislava","Czech Republic"
"Distracted Media","Australia"
"TLA Releasing","Sweden"
"Libra Pictures","none"
"Noble Entertainment Group","United States of America"
"Match Girl Pictures","United States of America"
"Sunrise Productions","United States of America"
"Guild","United Kingdom"
"Státní fond ČR pro podporu a rozvoj české kinematografie","Czech Republic"
"Nepenthe Productions","Denmark"
"Art Port","Japan"
"SVT Drama","Germany"
"Arista Records","United States of America"
"Ciné-Alliance","France"
"Pacific Pictures","Italy"
"Regner Grasten","Denmark"
"Lucky Day Studios","United States of America"
"Les Productions Artistes Associés","Belgium"
"Erma-Filmproduktionsgesellschaft","Austria"
"Jupiter Film Productions","United Kingdom"
"Video Vamp","United States of America"
"OffSpring Productions","United States of America"
"Dayal Creations","India"
"R.R. Productions","India"
"Sony Music Spassgesellschaft","Germany"
"Bert Kaiser Productions Inc.","United States of America"
"Pooja Entertainment","India"
"Gross-Krasne Productions","United States of America"
"Boundless Pictures","United States of America"
"Time Magnetics","India"
"Newmarket Capital Group","United Kingdom"
"A & S Productions","Philippines"
"Alex Cinematografica","Italy"
"Senator Film Produktion","none"
"Louisiana Media Productions","United States of America"
"Korty Films","United States of America"
"24 25 Films","United Kingdom"
"Pluck Productions","Canada"
"SIV","Russia"
"Program 33","France"
"Eighty Years of Film Company","Taiwan"
"Multi Media Verlag","Germany"
"Arpi Productions","United States of America"
"Lirica Inc.","Puerto Rico"
"Republic Pictures","none"
"New Horizon Picture Corp.","Argentina"
"Anthill Films","Canada"
"Praesens-Film AG","Switzerland"
"Stamm Film AG","Switzerland"
"Nautilus Film Company, The","United States of America"
"Comedy Central","Netherlands"
"John Farrow Productions","United States of America"
"Boram Entertainment Inc.","New Zealand"
"Oil Factory","United States of America"
"Voltage Pictures","United States of America"
"Filmking","Belgium"
"Horsethief Pictures","Canada"
"Les Productions Jacques Roitfeld","Italy"
"B.R.C Produzione S.r.l","Italy"
"Splendid Film","Italy"
"The Harold Greenberg Fund","Canada"
"Doria","Italy"
"VUFKU","Russia"
"Lion Television","United Kingdom"
"Kintop Pictures","France"
"Film Division of General Teleradio","United States of America"
"Inimitable Pictures","United States of America"
"A Exceção e a Regra","Brazil"
"KF Praha - Filmové studio Gottwaldov","Czech Republic"
"Roadshow Productions","Australia"
"Seltzer Films","United States of America"
"Turkey Ranch Productions","Turkey"
"Plum Pictures","Jamaica"
"JPZtudio","Argentina"
"Amok Film","Czech Republic"
"Skinny Nervous Guy","United States of America"
"Hunting Lane Films","United States of America"
"Merchant Ivory Productions","Egypt"
"NGN Productions","Canada"
"Allied Filmmakers","United Kingdom"
"Cheap and Dirty Productions Inc.","none"
"TS Productions","Canada"
"Optix Digital Pictures","Canada"
"Nikkatsu-Mukôjima","Japan"
"Miloš Cvetić","Serbia"
"MEDIA Programme of the European Union","Estonia"
"Le Film d'Art","France"
"Boxoffice International Pictures","United States of America"
"T.E.M. Productores S.A.","Spain"
"Filmena","Italy"
"TLA Releasing","Philippines"
"J Communications","South Korea"
"Puck Film Productions","United States of America"
"I.R.I.B. Channel 2","Iran"
"Hu Tong Communications","Hong Kong"
"Polski State Film","Poland"
"Lotus Films","Egypt"
"Paramount Television","United States of America"
"Zweites Deutsches Fernsehen (ZDF)","Czech Republic"
"Upstream Pictures","Sweden"
"Tallinnfilm","Estonia"
"ApolloMovie Beteiligungs","South Africa"
"Obregon Cinematografica","Spain"
