"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins","wiki_title","wikibase_item","Studio","Distributor"
"18-1946","tt0038121","Story of a Dog",1945,"Approved","10 min","Documentary, Short","N/A","Saul Elkins","Knox Manning","We watch the life of a Coast Guard dog, from the dog's point of view, from induction to graduation and then into a jungle to hunt for an enemy sniper. To pass muster, dogs must be of a certain size, then they go through basic trainin","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOTU5N2Q1ODQtNjg3NC00Yzk1LTlkZTctMmFiNTc2MDk4OWI5XkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg","N/A","6.3","115","tt0038121","movie",NA,NA,NA,NA,"6.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"18-1946","tt0038247","White Rhapsody",1945,"N/A","10 min","Documentary, Short","Jack Eaton","N/A","Ted Husing","N/A","English","USA","N/A","N/A","N/A","5.2","6","tt0038247","movie",NA,NA,NA,NA,"5.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"18-1946","tt0038265","Your National Gallery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"19-1947","tt0038421","College Queen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"19-1947","tt0038483","Dive-Hi Champs",1946,"N/A","10 min","Short","N/A","N/A","Ted Husing","This short starts with the various rivers, lakes, and pools where children of the day learn how to swim and dive, and ends with amateur men and women diving.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.0","12","tt0038483","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"19-1947","tt0038569","Golden Horses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"19-1947","tt0038602","Hiss and Yell",1946,"Approved","17 min","Comedy, Short","Jules White","Felix Adler","Barbara Jo Allen, Barton Yarborough, Symona Boniface","Vera thinks she's witnessed a man decapitating his wife. Actually, she's only seen magician Bluebeard the Great rehearsing his act. Still convinced that the magician is a killer, Vera goes through all sorts of comic agony when she is","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BM2YwMjcxNzUtYmIxYS00MTNhLTlhN2MtM2UzZjQ2ZjMxNWFkXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.9","29","tt0038602","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"19-1947","tt0038708","The Luckiest Guy in the World",1947,"Passed","21 min","Short, Crime, Drama","Joseph M. Newman","Doane R. Hoag, Emile C. Tepperman","Barry Nelson, Eloise Hardt, George Travell","Charles Vurn is always looking for a way for big money the easy way, which in his case usually means gambling. He does so at the possible expense of his job as an insurance salesman - money from the company which he's ""temporarily"" u","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZmI3OGIxMjctZTQ5Zi00YmUyLTg3MTItNjQ5NDA1NGU3NzE3XkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg","N/A","7.1","263","tt0038708","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"19-1947","tt0038825","Paramount News Issue #37",1946,"N/A","N/A","Documentary, Short","N/A","N/A","Gregory Abbott, Vincent Connolly, Dan Donaldson","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.6","15","tt0038825","movie",NA,NA,NA,NA,"5.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"19-1947","tt0038953","Smart as a Fox",1946,"Approved","10 min","Short, Family","N/A","Saul Elkins","Knox Manning","A fox cub experiences life in the forest.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.9","131","tt0038953","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"19-1947","tt0038978","Squatter's Rights",1946,"N/A","7 min","Animation, Comedy, Family","Jack Hannah, Clyde Geronimi","Harry Reeves","Dessie Flynn, James MacDonald, Pinto Colvig","Chip 'n Dale have set up house in the wood stove of Mickey's cabin. Pluto knows they are there, but Mickey only knows his matches keep going out when he tries to light a fire.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYzI3MWRmZmItYjBhNi00YTYzLTgwYWQtZjg5MWI3YWQ5NmU5XkEyXkFqcGdeQXVyNjMxODMyODU@._V1_SX300.jpg","N/A","6.8","482","tt0038978","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"19-1947","tt0038998","Sure Cures",1946,"Approved","11 min","Short, Comedy","Dave O'Brien","Joe Ansen, Dave O'Brien","Pete Smith, Dave O'Brien, George Bruggeman","Documentary showing different ""home remedies"" for various ills.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDEwNTJlNzctZDRhZC00ZTRhLWE4NWQtYmExZDdhYWJmMTBkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzAyNTQ1Mzk@._V1_SX300.jpg","N/A","5.7","155","tt0038998","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"20-1948","tt0039221","Brooklyn, U.S.A.",1947,"N/A","10 min","Short","Arthur Cohen","Lawrence Bearson","Ted de Corsia","Narrated by Ted de Corsia, this documentary short tells the life of 1947 Brooklyn, New York, and Coney Island.","English","USA","N/A","N/A","N/A","4.8","5","tt0039221","movie",NA,NA,NA,NA,"4.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"20-1948","tt0039258","Champagne for Two",1947,"Approved","19 min","Short, Comedy, Musical","Mel Epstein","Billy Rose, Jack Roberts","Lita Baron, George Reeves, Griff Barnett","Nightclub boss Malone puts off his wedding anniversary trip because an old woman claims to have overheard plans to rob the nightclub. But the old woman, Mrs. Cowdy, has a scheme of her own.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNDFmMjY2NGUtYWY2ZS00OTgwLTlmYzctMGQ0ZjcyM2YxZTliXkEyXkFqcGdeQXVyMTczODg0MDI@._V1_SX300.jpg","N/A","5.9","46","tt0039258","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"20-1948","tt0039338","Dr. Jekyll and Mr. Mouse",1947,"Approved","8 min","Animation, Short, Comedy","Joseph Barbera, William Hanna","Robert Louis Stevenson","William Hanna","Tom, sick of Jerry stealing the milk out of his bowl, poisons it. Instead of killing the mouse, the potion transforms him into a muscular beast.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZDgzZWE4MDUtMWFjOC00OGQwLThlYWQtOWRlNzRkMWU0ZjFiXkEyXkFqcGdeQXVyNTc0NjY1ODk@._V1_SX300.jpg","N/A","7.9","1,703","tt0039338","movie",NA,NA,NA,NA,"7.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"20-1948","tt0039379","Fight of the Wild Stallions",1947,"N/A","20 min","Documentary, Short","N/A","Frank Kelley","Ben Grauer, Desert Dust, Roy Lamoureaux, Frank Robbins","N/A","English","USA","N/A","N/A","N/A","5.3","23","tt0039379","movie",NA,NA,NA,NA,"5.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"20-1948","tt0039425","Give Us the Earth!",1947,"Passed","21 min","Documentary, Short","Gunther von Fritsch","Herbert Morgan","Emily Hatch, Spencer Hatch","This ""Theater of Life"" documentary was produced in cooperation with the International Committee, YMCA. It focuses on the work of Dr. Spencer Hatch, as he shows residents of small Mexican villages how to make their land better able to","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BODFmZWRiZmItY2I1ZC00MjI1LTg4YmYtNWIyYzcyMjg3YjNkXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","5.7","109","tt0039425","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"20-1948","tt0039633","Moon Rockets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"20-1948","tt0039671","Now You See It",1947,"Approved","10 min","Documentary, Short","Richard L. Cassell","N/A","Pete Smith","This Pete Smith Specialty demonstrates the uses of micro- and macrophotography. We see extreme closeups of the mechanical workings of a tiny wristwatch, the surface of a cat's tongue, and several insects.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.9","102","tt0039671","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"20-1948","tt0039968","A Voice Is Born",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"21-1949","tt0040101","Annie Was a Wonder",1949,"Passed","11 min","Short","Edward L. Cahn","John Nesbitt","Kathleen Freeman, Howard Negley, Ruth Lee","In this entry in the Passing Parade series, narrator John Nesbitt tells the story of Annie Swenson, who worked as a cook/housekeeper in the Nesbitt home when he was growing up. Annie was one of thousands of Scandinavian immigrant gir","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.4","216","tt0040101","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"21-1949","tt0040200","Calgary Stampede",1948,"Not Rated","18 min","Documentary, Short, Western","Saul Elkins","Herman Boxer","Art Gilmore","The pageantry of Calgary's colorful celebration of its past, culminating with its world famous rodeo, is chronicled.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjNhNjQ0YzQtZTNhMS00NmRkLTkzNzMtNDUwOWE2ODI5ZWE5XkEyXkFqcGdeQXVyMjA5NjIxNDU@._V1_SX300.jpg","N/A","5.8","160","tt0040200","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"21-1949","tt0040233","Cinderella Horse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"21-1949","tt0040393","Going to Blazes!",1948,"Approved","21 min","Documentary, Short","Gunther von Fritsch","Herbert Morgan","N/A","This Theatre of Life series short, produced with the cooperation of the Los Angeles Fire Department, emphasizes fire safety and fire prevention. It gives a behind-the-scenes look at the switching system used to dispatch the proper eq","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.6","113","tt0040393","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"21-1949","tt0040741","Robin Hoodlum",1948,"Passed","7 min","Animation, Short","John Hubley","Sol Barzman, Phil Eastman, Chuck Jones","John T. Smith","A slight role reversal for the Fox and Crow in this one, as the Crow was usually the smart one who ended up with the winning hand. Fox is Robin Hoodlum and the Crow is the Sheriff pursuing R. Hoodlum and his merry band. He escapes on","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BODJhMTA4NjEtNzgzOS00ZTQxLWI2OGYtZWZkMTFjOWRmM2MzXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.3","166","tt0040741","movie",NA,NA,NA,NA,"6.3/10",NA,NA,4,2022-02-24,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"21-1949","tt0040756","Samba-Mania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"21-1949","tt0040813","So You Want to Be on the Radio",1948,"Approved","10 min","Comedy, Short","Richard L. Bare","Richard L. Bare","George O'Hanlon, Phyllis Coates, George Ford","Joe McDoakes and his wife love to participate in radio show contests, but something seems to interfere every time they are lucky enough to be chosen as participants.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTIwZDEzMGQtMGYyNi00YmVkLThiZTctMjVhYjQzNzRlMzBkXkEyXkFqcGdeQXVyNDM0MzQ0Mjc@._V1_SX300.jpg","N/A","6.4","186","tt0040813","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"21-1949","tt0040981","You Can't Win",1948,"Approved","8 min","Comedy, Short","Dave O'Brien","Joe Ansen, Dave O'Brien","Pete Smith, Dave O'Brien","A series of mishaps happening to a homeowner, while he take a relaxing day off from the office. The trouble is about to begin when he starts to rest at home.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNGFhYzhmYjItOTE3YS00Y2M4LTljNjMtYzgwMjllODM4OGI3XkEyXkFqcGdeQXVyNTI3NTM4MTA@._V1_SX300.jpg","N/A","5.7","182","tt0040981","movie",NA,NA,NA,NA,"5.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"22-1950","tt0041202","Boy and the Eagle",1949,"Approved","18 min","Adventure, Short, Drama","William Lasky, Dickie Moore","Daniel P. Mannix","Dickie Moore","A crippled boy discovers a wounded bald eagle, nurses it back to health, tames and teaches it to fly. One day, a rattlesnake is about to strike the boy, when the bird attacks the snake and a vicious fight erupts between the snake and","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.4","11","tt0041202","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"22-1950","tt0041242","Chase of Death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"22-1950","tt0041425","The Grass Is Always Greener",1950,"N/A","17 min","Short, Drama, Western","Richard L. Bare","Robert Finch, Saul Elkins, Betty Smith","Chill Wills, Vince Barnett, John Kellogg","Ranch-hands get their ideas challenged when a stranger shows up, telling them how good they have things.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMWI1N2NmMjYtYzk1OS00NmE5LWExMjYtZTBiNjhkYzIxOGQ5XkEyXkFqcGdeQXVyMjA5NjIxNDU@._V1_SX300.jpg","N/A","6.6","56","tt0041425","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"22-1950","tt0041446","Hatch Up Your Troubles",1949,"Approved","8 min","Animation, Short, Comedy","Joseph Barbera, William Hanna","N/A","Sara Berner, William Hanna","A baby woodpecker mistakes Jerry for his mother. The mouse rejects the newly hatched bird but soon finds himself protecting it against his feline nemesis, Tom.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYWRjNDk1ZWUtN2I5Yy00NjY3LTg0MGItMjdlZDI3NzQ3MDk4XkEyXkFqcGdeQXVyNjMxODMyODU@._V1_SX300.jpg","N/A","7.5","1,174","tt0041446","movie",NA,NA,NA,NA,"7.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"22-1950","tt0041618","The Magic Fluke",1949,"Approved","7 min","Animation, Comedy, Short","John Hubley","Sol Barzman","John T. Smith","UPA had just taken over the cartoon production for Columbia and their influence shows vividly on this Fox-and-Crow entry that lets the slapstick be a result of a 'human-nature' story. The Fox and Crow have a band-act in a nightclub,","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMmQxZjExZTQtZWJiOS00Y2RhLTg0N2EtNTc1Yjg4NjdjZDJjXkEyXkFqcGdeQXVyODA3MDk1Nzg@._V1_SX300.jpg","N/A","6.6","141","tt0041618","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"22-1950","tt0041889","Snow Carnival",1949,"N/A","20 min","Documentary, Short","N/A","Owen Crump","Gary Cooper","A documentary about the snowy attractions of mid-twentieth century Aspen, Colorado.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BN2Y5MDUzZjYtM2QzMy00NDc1LWJjYzktOTViMzMzNWM0NzUyXkEyXkFqcGdeQXVyMTE5NDk2NjMz._V1_SX300.jpg","N/A","7.1","24","tt0041889","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"22-1950","tt0041892","So You Think You're Not Guilty",1950,"Approved","10 min","Comedy, Short","Richard L. Bare","Richard L. Bare","George O'Hanlon, Phyllis Coates, Douglas Fowley","Joe McDoakes (George O'Hanlon) pleads ""not guilty"" to a traffic violation but is convicted anyway. Handling this setback in his usual manner, the two-dollar fine quickly pyramids to a 10-year jail sentence.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZDZiZmU3YWEtODc5NS00OTk0LWJhZmItZjZjYjQwOTlhY2FkXkEyXkFqcGdeQXVyMTY5MDE5NA@@._V1_SX300.jpg","N/A","6.0","399","tt0041892","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"22-1950","tt0041912","Spills and Chills",1949,"N/A","10 min","Documentary, Short","Robert Youngson","Robert Youngson","Dan Donaldson","Dare-devils perform zany stunts.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZTQ0YzQwMzctNGQ3ZC00ZTgwLWE2ZmUtZTkyZDg5MjY5ZjViXkEyXkFqcGdeQXVyMjA5NjIxNDU@._V1_SX300.jpg","N/A","6.9","29","tt0041912","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"22-1950","tt0042034","Water Trix",1949,"Approved","9 min","Short, Sport","Charles T. Trego","N/A","Pete Smith, Charles T. Trego, Preston Petersen","Cinematographer Charles T. Trego is going airborne in a helicopter in order to get a different perspective of filming water skiing, rather than the traditional vantage point from a boat ...","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMzdiZjE0MzQtYzgzMC00NzJiLTg4ZmYtNjhlNTM5ZTA1ZmFjXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg","N/A","6.2","97","tt0042034","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"23-1951","tt0042520","Grandma Moses",1950,"N/A","21 min","Documentary, Short","Jerome Hill","Archibald Macleish","Grandma Moses, Archibald Macleish","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.5","35","tt0042520","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"23-1951","tt0042768","My Country 'Tis of Thee",1950,"Approved","19 min","Documentary, Short, Biography","N/A","Owen Crump","Marvin Miller, Franklin D. Roosevelt, Chester W. Nimitz","A panoramic view of American history from the Pilgrims to 1950 utilizing archival footage.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZTAwZDQ3ZTktZDNlMS00Nzk2LWE3ZjEtNzZiNjAwM2EyYTk0XkEyXkFqcGdeQXVyMTE5NDk2NjMz._V1_SX300.jpg","N/A","5.3","142","tt0042768","movie",NA,NA,NA,NA,"5.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"23-1951","tt0043073","Trouble Indemnity",1950,"N/A","7 min","Animation, Family, Short","Pete Burness, John Hubley","Phil Eastman, Bill Scott, Al Smalley","Jim Backus, Jerry Hausner","An insurance salesman enters Magoo's house hoping to make a sale. Magoo refuses but the salesman is eventually able to sell Magoo some by posing as one of Magoo's old college chums. Magoo is now worth a hefty sum and is ready to coll","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTMwODQyNDQ2OF5BMl5BanBnXkFtZTcwNzE2NDkxMQ@@._V1_SX300.jpg","N/A","6.4","118","tt0043073","movie",NA,NA,NA,NA,"6.4/10",NA,NA,6,2022-06-05,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"23-1951","tt0043148","Wrong Way Butch",1950,"Approved","10 min","Short, Comedy","Dave O'Brien","Julian Harmon, Dave O'Brien","Pete Smith, Dave O'Brien","Ingenious humankind has built numerous safeguards into tools and machinery used in modern industry, big and small, but those devices cannot protect one from one's own carelessness, as demonstrated by this movie's everyman, Wrong Way","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZTk0Y2EzY2EtMzljNS00NmI1LWJmNDUtMDFhZDhlNmU5ZWY4XkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg","N/A","6.3","148","tt0043148","movie",NA,NA,NA,NA,"6.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"23-1951","tt0043685","Jerry's Cousin",1951,"Approved","7 min","Animation, Short, Comedy","Joseph Barbera, William Hanna","Chuck Couch","Paul Frees, William Hanna","When Tom's harassment gets out of hand, Jerry writes to his Cousin Muscles, a tough inner city mouse, and asks for his help.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMmZkNjcyOTQtNDQ4Mi00NzhkLThjZjktMjA1ZmQ0M2FiZjgwXkEyXkFqcGdeQXVyMjExNjgyMTc@._V1_SX300.jpg","N/A","7.8","1,342","tt0043685","movie",NA,NA,NA,NA,"7.8/10",NA,NA,7,2022-05-08,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"24-1952","tt0043316","Balzac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"24-1952","tt0043447","Danger Under the Sea",1951,"N/A","N/A","Documentary, Short","Jacques-Yves Cousteau","N/A","Jacques-Yves Cousteau","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.0","13","tt0043447","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"24-1952","tt0043969","Ridin' the Rails",1951,"Approved","10 min","Short, Sport","Jack Eaton","Ted Husing","Ted Husing, Walt Disney","This is a Grantland Rice Sportscope from Paramount about hobbyists building steam locomotives, scaled one inch to the foot, by members of the Southern California branch of the Live Steam Model Locomotives Club. The models are powerfu","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTY5OTk4MzIxMl5BMl5BanBnXkFtZTcwMDU3ODkxMQ@@._V1_SX300.jpg","N/A","5.4","18","tt0043969","movie",NA,NA,NA,NA,"5.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"24-1952","tt0044077","The Story of Time",1951,"N/A","10 min","Documentary, Animation, Short","N/A","Michael Stainer-Hitchens","N/A","Mankind's numerous ways of measuring the passage of time through history are depicted through stop-motion animation, from ancient sundials to simple mechanical devices, up through complex modern timepieces.","English","United Kingdom","Nominated for 1 Oscar. 1 win & 1 nomination total","N/A","N/A","6.6","74","tt0044077","movie",NA,NA,NA,NA,"6.6/10",NA,NA,8,2022-02-24,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"25-1953","tt0044381","Athletes of the Saddle",1952,"N/A","10 min","Short","Jack Eaton","N/A","Ward Wilson","N/A","English","USA","N/A","N/A","N/A","5.8","5","tt0044381","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"25-1953","tt0044539","Desert Killer",1952,"Approved","10 min","Short, Adventure, Drama","Larry Lansburgh","Janet Lansburgh","Art Gilmore, Marvin Glenn","A hunter tracks a sheep-killing cougar.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjdjZGU1MGUtZTZkNS00MjNhLWI2MjMtYmE0ZWNlNzA0N2E5XkEyXkFqcGdeQXVyMTE5NDk2NjMz._V1_SX300.jpg","N/A","5.2","106","tt0044539","movie",NA,NA,NA,NA,"5.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"25-1953","tt0045033","Pink and Blue Blues",1952,"N/A","5 min","Family, Animation, Short","Pete Burness","Bill Scott","Jim Backus, Jerry Hausner","Mr. Magoo is hired by his neighbors to babysit their little son, Homer. Magoo is delighted to accept but, unfortunately, a notorious cat burglar is intent on entering and robbing the house Magoo is babysitting it. To make matters wor","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTMwODQyNDQ2OF5BMl5BanBnXkFtZTcwNzE2NDkxMQ@@._V1_SX300.jpg","N/A","6.1","109","tt0045033","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"25-1953","tt0045108","Royal Scotland",1952,"N/A","10 min","Short","Gerard Bryant","N/A","N/A","N/A","English","United Kingdom","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.3","25","tt0045108","movie",NA,NA,NA,NA,"6.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"25-1953","tt0045228","Thar She Blows!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"26-1954","tt0045625","Christ Among the Primitives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
